Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn);Nedbør (døgn)
Narvik Sentrum;SN84701;22.04.2021;4,5;0,6
Narvik Sentrum;SN84701;23.04.2021;3,8;0,2
Narvik Sentrum;SN84701;24.04.2021;4,4;0
Narvik Sentrum;SN84701;25.04.2021;5;0
Narvik Sentrum;SN84701;26.04.2021;4;0
Narvik Sentrum;SN84701;27.04.2021;3,5;2,8
Narvik Sentrum;SN84701;28.04.2021;2,9;2,5
Narvik Sentrum;SN84701;29.04.2021;2,8;0
Narvik Sentrum;SN84701;30.04.2021;1,4;2,4
Narvik Sentrum;SN84701;01.05.2021;2,5;0,4
Narvik Sentrum;SN84701;02.05.2021;3,5;4,7
Narvik Sentrum;SN84701;03.05.2021;5,7;0,8
Narvik Sentrum;SN84701;04.05.2021;6,5;0
Narvik Sentrum;SN84701;05.05.2021;6,7;0
Narvik Sentrum;SN84701;06.05.2021;5,5;0
Narvik Sentrum;SN84701;07.05.2021;6,2;0
Narvik Sentrum;SN84701;08.05.2021;4,3;0,7
Narvik Sentrum;SN84701;09.05.2021;5,8;1,4
Narvik Sentrum;SN84701;10.05.2021;9,5;3,7
Narvik Sentrum;SN84701;11.05.2021;7,2;0
Narvik Sentrum;SN84701;12.05.2021;16,1;2,2
Narvik Sentrum;SN84701;13.05.2021;8;0
Narvik Sentrum;SN84701;14.05.2021;7,6;0
Narvik Sentrum;SN84701;15.05.2021;12;1,5
Narvik Sentrum;SN84701;16.05.2021;12,5;0
Narvik Sentrum;SN84701;17.05.2021;15,3;0
Narvik Sentrum;SN84701;18.05.2021;15,3;0,8
Narvik Sentrum;SN84701;19.05.2021;13,4;0
Narvik Sentrum;SN84701;20.05.2021;8,9;0,3
Narvik Sentrum;SN84701;21.05.2021;12,6;0
Narvik Sentrum;SN84701;22.05.2021;10,4;0
Narvik Sentrum;SN84701;23.05.2021;8;0
Narvik Sentrum;SN84701;24.05.2021;9,9;0
Narvik Sentrum;SN84701;25.05.2021;12,6;0
Narvik Sentrum;SN84701;26.05.2021;13,2;0
Narvik Sentrum;SN84701;27.05.2021;12,6;0
Narvik Sentrum;SN84701;28.05.2021;9,3;0
Narvik Sentrum;SN84701;29.05.2021;10,8;0
Narvik Sentrum;SN84701;30.05.2021;9,1;0
Narvik Sentrum;SN84701;31.05.2021;12,3;3,2
Narvik Sentrum;SN84701;01.06.2021;19,4;0
Narvik Sentrum;SN84701;02.06.2021;25,3;0
Narvik Sentrum;SN84701;03.06.2021;23,3;0
Narvik Sentrum;SN84701;04.06.2021;24;0
Narvik Sentrum;SN84701;05.06.2021;19,9;0
Narvik Sentrum;SN84701;06.06.2021;21,6;0
Narvik Sentrum;SN84701;07.06.2021;21,6;0
Narvik Sentrum;SN84701;08.06.2021;19,3;1,2
Narvik Sentrum;SN84701;09.06.2021;17,5;0
Narvik Sentrum;SN84701;10.06.2021;18,7;0
Narvik Sentrum;SN84701;11.06.2021;18,1;0
Narvik Sentrum;SN84701;12.06.2021;13,6;24,2
Narvik Sentrum;SN84701;13.06.2021;12,7;5,1
Narvik Sentrum;SN84701;14.06.2021;12,4;2,1
Narvik Sentrum;SN84701;15.06.2021;10,7;0
Narvik Sentrum;SN84701;16.06.2021;10,6;2,3
Narvik Sentrum;SN84701;17.06.2021;13,2;0,9
Narvik Sentrum;SN84701;18.06.2021;14,6;0,6
Narvik Sentrum;SN84701;19.06.2021;12,4;4
Narvik Sentrum;SN84701;20.06.2021;14,9;0
Narvik Sentrum;SN84701;21.06.2021;14,6;0
Narvik Sentrum;SN84701;22.06.2021;13,7;3,8
Narvik Sentrum;SN84701;23.06.2021;18,2;1,3
Narvik Sentrum;SN84701;24.06.2021;16;0
Narvik Sentrum;SN84701;25.06.2021;14,5;0
Narvik Sentrum;SN84701;26.06.2021;12,9;1,2
Narvik Sentrum;SN84701;27.06.2021;14,3;0,4
Narvik Sentrum;SN84701;28.06.2021;11,6;3,2
Narvik Sentrum;SN84701;29.06.2021;11,5;6,9
Narvik Sentrum;SN84701;30.06.2021;12;0
Narvik Sentrum;SN84701;01.07.2021;15;0
Narvik Sentrum;SN84701;02.07.2021;18,9;0
Narvik Sentrum;SN84701;03.07.2021;21,7;0
Narvik Sentrum;SN84701;04.07.2021;23,4;0
Narvik Sentrum;SN84701;05.07.2021;29,4;0
Narvik Sentrum;SN84701;06.07.2021;30;0
Narvik Sentrum;SN84701;07.07.2021;26,1;0
Narvik Sentrum;SN84701;08.07.2021;20,2;17,4
Narvik Sentrum;SN84701;09.07.2021;18,4;6,7
Narvik Sentrum;SN84701;10.07.2021;19,2;0
Narvik Sentrum;SN84701;11.07.2021;22,9;0
Narvik Sentrum;SN84701;12.07.2021;21,1;4,2
Narvik Sentrum;SN84701;13.07.2021;15,6;0,2
Narvik Sentrum;SN84701;14.07.2021;19,4;5,4
Narvik Sentrum;SN84701;15.07.2021;19;0
Narvik Sentrum;SN84701;16.07.2021;13,4;17,8
Narvik Sentrum;SN84701;17.07.2021;13,5;17,7
Narvik Sentrum;SN84701;18.07.2021;13,1;5,7
Narvik Sentrum;SN84701;19.07.2021;12,6;4,1
Narvik Sentrum;SN84701;20.07.2021;10,6;6,9
Narvik Sentrum;SN84701;21.07.2021;11,3;4,2
Narvik Sentrum;SN84701;22.07.2021;12,2;27,3
Narvik Sentrum;SN84701;23.07.2021;11,9;0
Narvik Sentrum;SN84701;24.07.2021;12,5;0,7
Narvik Sentrum;SN84701;25.07.2021;13,6;10
Narvik Sentrum;SN84701;26.07.2021;19,5;21,5
Narvik Sentrum;SN84701;27.07.2021;23,2;0
Narvik Sentrum;SN84701;28.07.2021;23,7;0
Narvik Sentrum;SN84701;29.07.2021;18,3;0
Narvik Sentrum;SN84701;30.07.2021;19,9;0
Narvik Sentrum;SN84701;31.07.2021;16;3,2
Narvik Sentrum;SN84701;01.08.2021;11,3;4,3
Narvik Sentrum;SN84701;02.08.2021;12,9;14,1
Narvik Sentrum;SN84701;03.08.2021;13,8;1,6
Narvik Sentrum;SN84701;04.08.2021;13,3;1,4
Narvik Sentrum;SN84701;05.08.2021;14,4;1,2
Narvik Sentrum;SN84701;06.08.2021;22,7;1,5
Narvik Sentrum;SN84701;07.08.2021;24,4;0
Narvik Sentrum;SN84701;08.08.2021;25,1;0
Narvik Sentrum;SN84701;09.08.2021;22,8;0,9
Narvik Sentrum;SN84701;10.08.2021;20,3;5,4
Narvik Sentrum;SN84701;11.08.2021;15,8;9,8
Narvik Sentrum;SN84701;12.08.2021;13,8;5,2
Narvik Sentrum;SN84701;13.08.2021;13,8;1,9
Narvik Sentrum;SN84701;14.08.2021;16,2;0,7
Narvik Sentrum;SN84701;15.08.2021;15,4;0
Narvik Sentrum;SN84701;16.08.2021;15,1;0
Narvik Sentrum;SN84701;17.08.2021;15,7;0,1
Narvik Sentrum;SN84701;18.08.2021;15,8;0
Narvik Sentrum;SN84701;19.08.2021;18,1;8
Narvik Sentrum;SN84701;20.08.2021;15,9;4,5
Narvik Sentrum;SN84701;21.08.2021;11,5;6,2
Narvik Sentrum;SN84701;22.08.2021;10,9;3,5
Narvik Sentrum;SN84701;23.08.2021;13,9;0
Narvik Sentrum;SN84701;24.08.2021;11,8;0,3
Narvik Sentrum;SN84701;25.08.2021;15,3;5,8
Narvik Sentrum;SN84701;26.08.2021;16,7;0
Narvik Sentrum;SN84701;27.08.2021;15,9;0
Narvik Sentrum;SN84701;28.08.2021;16,3;0
Narvik Sentrum;SN84701;29.08.2021;13,5;0
Narvik Sentrum;SN84701;30.08.2021;12,8;0,4
Narvik Sentrum;SN84701;31.08.2021;12,6;2,1
Narvik Sentrum;SN84701;01.09.2021;9,4;1,8
Narvik Sentrum;SN84701;02.09.2021;8,4;0,2
Narvik Sentrum;SN84701;03.09.2021;10,9;5,2
Narvik Sentrum;SN84701;04.09.2021;10,5;1,6
Narvik Sentrum;SN84701;05.09.2021;9;1,5
Narvik Sentrum;SN84701;06.09.2021;12,8;4,1
Narvik Sentrum;SN84701;07.09.2021;10,6;2
Narvik Sentrum;SN84701;08.09.2021;12,7;23,6
Narvik Sentrum;SN84701;09.09.2021;11;3,5
Narvik Sentrum;SN84701;10.09.2021;11,9;1,7
Narvik Sentrum;SN84701;11.09.2021;12,7;0,1
Narvik Sentrum;SN84701;12.09.2021;12,3;0
Narvik Sentrum;SN84701;13.09.2021;9,2;4,2
Narvik Sentrum;SN84701;14.09.2021;8;2
Narvik Sentrum;SN84701;15.09.2021;10,9;4
Narvik Sentrum;SN84701;16.09.2021;11,8;0
Narvik Sentrum;SN84701;17.09.2021;11,9;0
Narvik Sentrum;SN84701;18.09.2021;13,6;0
Narvik Sentrum;SN84701;19.09.2021;14,5;0
Narvik Sentrum;SN84701;20.09.2021;13,6;0
Narvik Sentrum;SN84701;21.09.2021;11,7;0
Narvik Sentrum;SN84701;22.09.2021;17;1,8
Narvik Sentrum;SN84701;23.09.2021;15,5;2,8
Narvik Sentrum;SN84701;24.09.2021;10,1;1,8
Narvik Sentrum;SN84701;25.09.2021;9;0,2
Narvik Sentrum;SN84701;26.09.2021;12,1;1,4
Narvik Sentrum;SN84701;27.09.2021;17,8;0,4
Narvik Sentrum;SN84701;28.09.2021;21,5;0
Narvik Sentrum;SN84701;29.09.2021;13,5;0
Narvik Sentrum;SN84701;30.09.2021;12,6;0
Narvik Sentrum;SN84701;01.10.2021;14,8;0
Narvik Sentrum;SN84701;02.10.2021;17,5;0
Narvik Sentrum;SN84701;03.10.2021;16,8;0
Narvik Sentrum;SN84701;04.10.2021;19,4;0
Narvik Sentrum;SN84701;05.10.2021;16,8;0
Narvik Sentrum;SN84701;06.10.2021;11,1;9,8
Narvik Sentrum;SN84701;07.10.2021;8,3;0,1
Narvik Sentrum;SN84701;08.10.2021;6,6;0,9
Narvik Sentrum;SN84701;09.10.2021;9,9;5,6
Narvik Sentrum;SN84701;10.10.2021;10,5;17,3
Narvik Sentrum;SN84701;11.10.2021;9,6;7,1
Narvik Sentrum;SN84701;12.10.2021;7,7;2,8
Narvik Sentrum;SN84701;13.10.2021;5,1;3,6
Narvik Sentrum;SN84701;14.10.2021;4,8;6,9
Narvik Sentrum;SN84701;15.10.2021;5,4;0
Narvik Sentrum;SN84701;16.10.2021;4,9;0
Narvik Sentrum;SN84701;17.10.2021;5,8;0
Narvik Sentrum;SN84701;18.10.2021;4,5;0,4
Narvik Sentrum;SN84701;19.10.2021;0,4;3,2
Narvik Sentrum;SN84701;20.10.2021;2,2;0
Narvik Sentrum;SN84701;21.10.2021;2,2;0
Narvik Sentrum;SN84701;22.10.2021;2,9;0
Narvik Sentrum;SN84701;23.10.2021;2,1;0
Narvik Sentrum;SN84701;24.10.2021;3,3;0
Narvik Sentrum;SN84701;25.10.2021;2,7;0,9
Narvik Sentrum;SN84701;26.10.2021;3,2;8,9
Narvik Sentrum;SN84701;27.10.2021;2,7;10,1
Narvik Sentrum;SN84701;28.10.2021;9,2;1,2
Narvik Sentrum;SN84701;29.10.2021;8,8;3,5
Narvik Sentrum;SN84701;30.10.2021;5,8;0,1
Narvik Sentrum;SN84701;31.10.2021;5;7,9
Narvik Sentrum;SN84701;01.11.2021;6,9;0
Narvik Sentrum;SN84701;02.11.2021;12,5;0,8
Narvik Sentrum;SN84701;03.11.2021;5,6;0
Narvik Sentrum;SN84701;04.11.2021;5,7;1,1
Narvik Sentrum;SN84701;05.11.2021;4,3;1
Narvik Sentrum;SN84701;06.11.2021;3,5;0,2
Narvik Sentrum;SN84701;07.11.2021;2,7;2,7
Narvik Sentrum;SN84701;08.11.2021;1,8;0,1
Narvik Sentrum;SN84701;09.11.2021;4;0,9
Narvik Sentrum;SN84701;10.11.2021;6,1;4,7
Narvik Sentrum;SN84701;11.11.2021;7,6;17,9
Narvik Sentrum;SN84701;12.11.2021;4,6;4
Narvik Sentrum;SN84701;13.11.2021;4,1;1,5
Narvik Sentrum;SN84701;14.11.2021;4,2;0,9
Narvik Sentrum;SN84701;15.11.2021;6,3;2,3
Narvik Sentrum;SN84701;16.11.2021;7,2;18,4
Narvik Sentrum;SN84701;17.11.2021;6,9;2,5
Narvik Sentrum;SN84701;18.11.2021;5,9;5,1
Narvik Sentrum;SN84701;19.11.2021;2,5;1,2
Narvik Sentrum;SN84701;20.11.2021;3,5;14,7
Narvik Sentrum;SN84701;21.11.2021;0,4;0,1
Narvik Sentrum;SN84701;22.11.2021;-0,8;0,7
Narvik Sentrum;SN84701;23.11.2021;-0,7;0,3
Narvik Sentrum;SN84701;24.11.2021;0,3;8,1
Narvik Sentrum;SN84701;25.11.2021;-6,1;0
Narvik Sentrum;SN84701;26.11.2021;-5,8;0
Narvik Sentrum;SN84701;27.11.2021;-5,8;0
Narvik Sentrum;SN84701;28.11.2021;-6,8;0
Narvik Sentrum;SN84701;29.11.2021;-5,6;0
Narvik Sentrum;SN84701;30.11.2021;-6,6;0
Narvik Sentrum;SN84701;01.12.2021;-5,5;0
Narvik Sentrum;SN84701;02.12.2021;-0,4;0,8
Narvik Sentrum;SN84701;03.12.2021;-0,9;0
Narvik Sentrum;SN84701;04.12.2021;-3,9;0
Narvik Sentrum;SN84701;05.12.2021;-4,4;0
Narvik Sentrum;SN84701;06.12.2021;-11,9;0
Narvik Sentrum;SN84701;07.12.2021;-8,1;0
Narvik Sentrum;SN84701;08.12.2021;-5,7;0
Narvik Sentrum;SN84701;09.12.2021;-9,6;0
Narvik Sentrum;SN84701;10.12.2021;-1,5;0
Narvik Sentrum;SN84701;11.12.2021;-1,5;0
Narvik Sentrum;SN84701;12.12.2021;0,4;1,4
Narvik Sentrum;SN84701;13.12.2021;0,1;0
Narvik Sentrum;SN84701;14.12.2021;1,7;0
Narvik Sentrum;SN84701;15.12.2021;6;0
Narvik Sentrum;SN84701;16.12.2021;5,2;10,7
Narvik Sentrum;SN84701;17.12.2021;6;5,5
Narvik Sentrum;SN84701;18.12.2021;7,1;6,6
Narvik Sentrum;SN84701;19.12.2021;4,9;15,5
Narvik Sentrum;SN84701;20.12.2021;1,7;2,6
Narvik Sentrum;SN84701;21.12.2021;-5,8;0
Narvik Sentrum;SN84701;22.12.2021;-4,2;0
Narvik Sentrum;SN84701;23.12.2021;0,5;10,5
Narvik Sentrum;SN84701;24.12.2021;-4,3;0,6
Narvik Sentrum;SN84701;25.12.2021;-2,2;2,2
Narvik Sentrum;SN84701;26.12.2021;-5,9;0
Narvik Sentrum;SN84701;27.12.2021;-5,3;0
Narvik Sentrum;SN84701;28.12.2021;-6;0
Narvik Sentrum;SN84701;29.12.2021;-7,9;0
Narvik Sentrum;SN84701;30.12.2021;-3,5;1
Narvik Sentrum;SN84701;31.12.2021;-2,8;0
Narvik Sentrum;SN84701;01.01.2022;-2,4;2,5
Narvik Sentrum;SN84701;02.01.2022;0,1;3,4
Narvik Sentrum;SN84701;03.01.2022;-1,2;0
Narvik Sentrum;SN84701;04.01.2022;-4;0
Narvik Sentrum;SN84701;05.01.2022;-2,3;1,2
Narvik Sentrum;SN84701;06.01.2022;-2,1;9,1
Narvik Sentrum;SN84701;07.01.2022;-3;6,2
Narvik Sentrum;SN84701;08.01.2022;-4,7;0
Narvik Sentrum;SN84701;09.01.2022;-5;0,4
Narvik Sentrum;SN84701;10.01.2022;-8,9;0
Narvik Sentrum;SN84701;11.01.2022;-0,3;0
Narvik Sentrum;SN84701;12.01.2022;7,3;0,8
Narvik Sentrum;SN84701;13.01.2022;4,1;7,7
Narvik Sentrum;SN84701;14.01.2022;2,6;11,3
Narvik Sentrum;SN84701;15.01.2022;2,3;13,6
Narvik Sentrum;SN84701;16.01.2022;5,3;30,3
Narvik Sentrum;SN84701;17.01.2022;0,2;15,6
Narvik Sentrum;SN84701;18.01.2022;7;1,7
Narvik Sentrum;SN84701;19.01.2022;7,7;16,5
Narvik Sentrum;SN84701;20.01.2022;1,3;10,3
Narvik Sentrum;SN84701;21.01.2022;-0,1;14,6
Narvik Sentrum;SN84701;22.01.2022;1,2;2,6
Narvik Sentrum;SN84701;23.01.2022;9,2;4,3
Narvik Sentrum;SN84701;24.01.2022;8,8;20,4
Narvik Sentrum;SN84701;25.01.2022;0;0,7
Narvik Sentrum;SN84701;26.01.2022;0,2;2,2
Narvik Sentrum;SN84701;27.01.2022;-3,4;0
Narvik Sentrum;SN84701;28.01.2022;-0,6;3,4
Narvik Sentrum;SN84701;29.01.2022;-2,5;1,2
Narvik Sentrum;SN84701;30.01.2022;-3,4;0
Narvik Sentrum;SN84701;31.01.2022;-4,7;0,3
Narvik Sentrum;SN84701;01.02.2022;-6,7;0
Narvik Sentrum;SN84701;02.02.2022;-7,6;0
Narvik Sentrum;SN84701;03.02.2022;-6,4;0
Narvik Sentrum;SN84701;04.02.2022;-0,3;0
Narvik Sentrum;SN84701;05.02.2022;4,4;0,6
Narvik Sentrum;SN84701;06.02.2022;5,2;0
Narvik Sentrum;SN84701;07.02.2022;-0,6;0
Narvik Sentrum;SN84701;08.02.2022;-0,1;3,2
Narvik Sentrum;SN84701;09.02.2022;2,9;0,2
Narvik Sentrum;SN84701;10.02.2022;-0,1;0
Narvik Sentrum;SN84701;11.02.2022;0,4;5,7
Narvik Sentrum;SN84701;12.02.2022;-2,1;0,6
Narvik Sentrum;SN84701;13.02.2022;-6;0
Narvik Sentrum;SN84701;14.02.2022;-0,3;0,9
Narvik Sentrum;SN84701;15.02.2022;-1,7;4,1
Narvik Sentrum;SN84701;16.02.2022;-2,1;0
Narvik Sentrum;SN84701;17.02.2022;-1,4;0
Narvik Sentrum;SN84701;18.02.2022;-1,2;0
Narvik Sentrum;SN84701;19.02.2022;-1,9;0
Narvik Sentrum;SN84701;20.02.2022;-2,4;0
Narvik Sentrum;SN84701;21.02.2022;-5,4;0
Narvik Sentrum;SN84701;22.02.2022;-3,3;0
Narvik Sentrum;SN84701;23.02.2022;-5,5;0
Narvik Sentrum;SN84701;24.02.2022;4;0
Narvik Sentrum;SN84701;25.02.2022;4,4;2,1
Narvik Sentrum;SN84701;26.02.2022;2,2;0,6
Narvik Sentrum;SN84701;27.02.2022;8,9;10,8
Narvik Sentrum;SN84701;28.02.2022;5,8;3,6
Narvik Sentrum;SN84701;01.03.2022;5,5;0
Narvik Sentrum;SN84701;02.03.2022;5,3;1,7
Narvik Sentrum;SN84701;03.03.2022;2,2;5,9
Narvik Sentrum;SN84701;04.03.2022;0,3;0,3
Narvik Sentrum;SN84701;05.03.2022;2,9;1,6
Narvik Sentrum;SN84701;06.03.2022;3;2,9
Narvik Sentrum;SN84701;07.03.2022;0,8;3,5
Narvik Sentrum;SN84701;08.03.2022;2,7;3,7
Narvik Sentrum;SN84701;09.03.2022;1,6;0
Narvik Sentrum;SN84701;10.03.2022;6;0
Narvik Sentrum;SN84701;11.03.2022;5,9;1,6
Narvik Sentrum;SN84701;12.03.2022;10,3;4,4
Narvik Sentrum;SN84701;13.03.2022;9;0
Narvik Sentrum;SN84701;14.03.2022;7,2;0
Narvik Sentrum;SN84701;15.03.2022;8,1;0
Narvik Sentrum;SN84701;16.03.2022;6,7;0
Narvik Sentrum;SN84701;17.03.2022;6,7;0
Narvik Sentrum;SN84701;18.03.2022;8,7;0,1
Narvik Sentrum;SN84701;19.03.2022;7,6;6,4
Narvik Sentrum;SN84701;20.03.2022;9,4;39,5
Narvik Sentrum;SN84701;21.03.2022;9,3;0
Narvik Sentrum;SN84701;22.03.2022;6,5;0,5
Narvik Sentrum;SN84701;23.03.2022;7,2;0,8
Narvik Sentrum;SN84701;24.03.2022;5,3;23,4
Narvik Sentrum;SN84701;25.03.2022;3,3;0,3
Narvik Sentrum;SN84701;26.03.2022;-0,2;2,6
Narvik Sentrum;SN84701;27.03.2022;-0,8;0,6
Narvik Sentrum;SN84701;28.03.2022;-2,1;0,6
Narvik Sentrum;SN84701;29.03.2022;0,1;0,7
Narvik Sentrum;SN84701;30.03.2022;1,2;0
Narvik Sentrum;SN84701;31.03.2022;1,4;0
Narvik Sentrum;SN84701;01.04.2022;0,8;0
Narvik Sentrum;SN84701;02.04.2022;1;1,7
Narvik Sentrum;SN84701;03.04.2022;1;6
Narvik Sentrum;SN84701;04.04.2022;0,7;0
Narvik Sentrum;SN84701;05.04.2022;-2,9;0
Narvik Sentrum;SN84701;06.04.2022;1,6;1
Narvik Sentrum;SN84701;07.04.2022;2,6;0
Narvik Sentrum;SN84701;08.04.2022;4,2;0
Narvik Sentrum;SN84701;09.04.2022;7,6;0,4
Narvik Sentrum;SN84701;10.04.2022;6,7;5,9
Narvik Sentrum;SN84701;11.04.2022;4,2;0
Narvik Sentrum;SN84701;12.04.2022;5,3;1,1
Narvik Sentrum;SN84701;13.04.2022;5,7;0,3
Narvik Sentrum;SN84701;14.04.2022;6;1,3
Narvik Sentrum;SN84701;15.04.2022;4,8;0
Narvik Sentrum;SN84701;16.04.2022;6,2;0
Narvik Sentrum;SN84701;17.04.2022;6,4;1,4
Narvik Sentrum;SN84701;18.04.2022;6,2;1,8
Narvik Sentrum;SN84701;19.04.2022;13;0,5
Narvik Sentrum;SN84701;20.04.2022;11,8;0
Narvik Sentrum;SN84701;21.04.2022;8,4;0
Narvik Sentrum;SN84701;22.04.2022;6,3;1
Narvik Sentrum;SN84701;23.04.2022;8,4;0,1
Narvik Sentrum;SN84701;24.04.2022;7,3;0
Narvik Sentrum;SN84701;25.04.2022;5,2;2,8
Narvik Sentrum;SN84701;26.04.2022;0,7;0,7
Narvik Sentrum;SN84701;27.04.2022;0,7;0,6
Narvik Sentrum;SN84701;28.04.2022;1,7;1,9
Narvik Sentrum;SN84701;29.04.2022;3,1;1
Narvik Sentrum;SN84701;30.04.2022;2,9;2,9
Narvik Sentrum;SN84701;01.05.2022;2,4;0
Narvik Sentrum;SN84701;02.05.2022;2,8;12,5
Narvik Sentrum;SN84701;03.05.2022;2,4;0,6
Narvik Sentrum;SN84701;04.05.2022;4,2;1,1
Narvik Sentrum;SN84701;05.05.2022;6,4;0,2
Narvik Sentrum;SN84701;06.05.2022;12;0,2
Narvik Sentrum;SN84701;07.05.2022;12;2,4
Narvik Sentrum;SN84701;08.05.2022;4,2;1,6
Narvik Sentrum;SN84701;09.05.2022;4,9;1,1
Narvik Sentrum;SN84701;10.05.2022;9,2;14,4
Narvik Sentrum;SN84701;11.05.2022;8,2;2
Narvik Sentrum;SN84701;12.05.2022;10,1;8,2
Narvik Sentrum;SN84701;13.05.2022;8,1;8,6
Narvik Sentrum;SN84701;14.05.2022;7,8;0,7
Narvik Sentrum;SN84701;15.05.2022;6,9;4,2
Narvik Sentrum;SN84701;16.05.2022;4,4;16,5
Narvik Sentrum;SN84701;17.05.2022;4,2;0
Narvik Sentrum;SN84701;18.05.2022;9,4;13,1
Narvik Sentrum;SN84701;19.05.2022;11,7;2
Narvik Sentrum;SN84701;20.05.2022;12,9;0
Narvik Sentrum;SN84701;21.05.2022;12,8;3,1
Narvik Sentrum;SN84701;22.05.2022;12,7;0,1
Narvik Sentrum;SN84701;23.05.2022;18,8;0
Narvik Sentrum;SN84701;24.05.2022;18;0
Narvik Sentrum;SN84701;25.05.2022;17,8;0
Narvik Sentrum;SN84701;26.05.2022;16,1;0
Narvik Sentrum;SN84701;27.05.2022;14,1;0
Narvik Sentrum;SN84701;28.05.2022;9,5;0,7
Narvik Sentrum;SN84701;29.05.2022;17,1;3
Narvik Sentrum;SN84701;30.05.2022;20,6;0
Narvik Sentrum;SN84701;31.05.2022;20,5;0
Narvik Sentrum;SN84701;01.06.2022;18,9;0
Narvik Sentrum;SN84701;02.06.2022;19,9;0
Narvik Sentrum;SN84701;03.06.2022;18,9;1,8
Narvik Sentrum;SN84701;04.06.2022;11,1;14,5
Narvik Sentrum;SN84701;05.06.2022;11,8;3,3
Narvik Sentrum;SN84701;06.06.2022;14,2;1
Narvik Sentrum;SN84701;07.06.2022;13,5;0,3
Narvik Sentrum;SN84701;08.06.2022;10,9;0,4
Narvik Sentrum;SN84701;09.06.2022;12,8;0
Narvik Sentrum;SN84701;10.06.2022;14,2;0
Narvik Sentrum;SN84701;11.06.2022;13,4;0
Narvik Sentrum;SN84701;12.06.2022;16,3;4,7
Narvik Sentrum;SN84701;13.06.2022;15,5;0,7
Narvik Sentrum;SN84701;14.06.2022;14,4;0,4
Narvik Sentrum;SN84701;15.06.2022;15;10,1
Narvik Sentrum;SN84701;16.06.2022;14,1;0
Narvik Sentrum;SN84701;17.06.2022;13,9;0
Narvik Sentrum;SN84701;18.06.2022;17,3;0
Narvik Sentrum;SN84701;19.06.2022;13,9;2,4
Narvik Sentrum;SN84701;20.06.2022;11,8;0,2
Narvik Sentrum;SN84701;21.06.2022;13,5;1,4
Narvik Sentrum;SN84701;22.06.2022;13,2;10,5
Narvik Sentrum;SN84701;23.06.2022;15,6;0
Narvik Sentrum;SN84701;24.06.2022;13,2;1,1
Narvik Sentrum;SN84701;25.06.2022;23,2;0,1
Narvik Sentrum;SN84701;26.06.2022;26,1;0
Narvik Sentrum;SN84701;27.06.2022;29,4;0
Narvik Sentrum;SN84701;28.06.2022;30,6;0
Narvik Sentrum;SN84701;29.06.2022;29;0
Narvik Sentrum;SN84701;30.06.2022;20,7;8,1
Narvik Sentrum;SN84701;01.07.2022;29;0
Narvik Sentrum;SN84701;02.07.2022;29,8;0
Narvik Sentrum;SN84701;03.07.2022;25;4,1
Narvik Sentrum;SN84701;04.07.2022;21,4;0,7
Narvik Sentrum;SN84701;05.07.2022;22,2;0,1
Narvik Sentrum;SN84701;06.07.2022;13,2;7,9
Narvik Sentrum;SN84701;07.07.2022;13,1;2,5
Narvik Sentrum;SN84701;08.07.2022;12,7;11,8
Narvik Sentrum;SN84701;09.07.2022;17,2;1,1
Narvik Sentrum;SN84701;10.07.2022;19;0
Narvik Sentrum;SN84701;11.07.2022;17,9;0
Narvik Sentrum;SN84701;12.07.2022;26,4;0
Narvik Sentrum;SN84701;13.07.2022;25,9;1,4
Narvik Sentrum;SN84701;14.07.2022;15,4;0,3
Narvik Sentrum;SN84701;15.07.2022;12,4;23
Narvik Sentrum;SN84701;16.07.2022;12,8;13,7
Narvik Sentrum;SN84701;17.07.2022;11,5;15,7
Narvik Sentrum;SN84701;18.07.2022;16;5,2
Narvik Sentrum;SN84701;19.07.2022;17;0
Narvik Sentrum;SN84701;20.07.2022;22,2;0
Narvik Sentrum;SN84701;21.07.2022;18,2;0
Narvik Sentrum;SN84701;22.07.2022;14,1;2,7
Narvik Sentrum;SN84701;23.07.2022;15;0,5
Narvik Sentrum;SN84701;24.07.2022;16;2,4
Narvik Sentrum;SN84701;25.07.2022;16,2;0
Narvik Sentrum;SN84701;26.07.2022;16;1,7
Narvik Sentrum;SN84701;27.07.2022;14,4;36,3
Narvik Sentrum;SN84701;28.07.2022;15,6;11,1
Narvik Sentrum;SN84701;29.07.2022;17,7;0
Narvik Sentrum;SN84701;30.07.2022;22,1;0
Narvik Sentrum;SN84701;31.07.2022;24,5;0
Narvik Sentrum;SN84701;01.08.2022;22,3;0
Narvik Sentrum;SN84701;02.08.2022;18,8;4,8
Narvik Sentrum;SN84701;03.08.2022;21;5,7
Narvik Sentrum;SN84701;04.08.2022;17,1;0,5
Narvik Sentrum;SN84701;05.08.2022;16,3;6,4
Narvik Sentrum;SN84701;06.08.2022;18,5;1,3
Narvik Sentrum;SN84701;07.08.2022;14,2;17,2
Narvik Sentrum;SN84701;08.08.2022;14,1;1,9
Narvik Sentrum;SN84701;09.08.2022;14,3;0
Narvik Sentrum;SN84701;10.08.2022;15,3;1,1
Narvik Sentrum;SN84701;11.08.2022;14,3;6,7
Narvik Sentrum;SN84701;12.08.2022;13,6;0,5
Narvik Sentrum;SN84701;13.08.2022;14,8;2,4
Narvik Sentrum;SN84701;14.08.2022;15,2;1,2
