Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn);Nedbør (døgn)
Narvik Sentrum;SN84701;17.04.2020;3,8;-
Narvik Sentrum;SN84701;18.04.2020;4,4;-
Narvik Sentrum;SN84701;19.04.2020;5,3;-
Narvik Sentrum;SN84701;20.04.2020;7,5;-
Narvik Sentrum;SN84701;21.04.2020;7,8;-
Narvik Sentrum;SN84701;22.04.2020;5,7;-
Narvik Sentrum;SN84701;23.04.2020;4,2;-
Narvik Sentrum;SN84701;24.04.2020;5,4;-
Narvik Sentrum;SN84701;25.04.2020;3,7;-
Narvik Sentrum;SN84701;26.04.2020;4,1;-
Narvik Sentrum;SN84701;27.04.2020;4;-
Narvik Sentrum;SN84701;28.04.2020;4,3;-
Narvik Sentrum;SN84701;29.04.2020;5,3;-
Narvik Sentrum;SN84701;30.04.2020;6,8;-
Narvik Sentrum;SN84701;01.05.2020;6,7;-
Narvik Sentrum;SN84701;02.05.2020;8,7;-
Narvik Sentrum;SN84701;03.05.2020;7,1;-
Narvik Sentrum;SN84701;04.05.2020;4,8;-
Narvik Sentrum;SN84701;05.05.2020;7,8;-
Narvik Sentrum;SN84701;06.05.2020;6,8;-
Narvik Sentrum;SN84701;07.05.2020;4,7;-
Narvik Sentrum;SN84701;08.05.2020;4,3;-
Narvik Sentrum;SN84701;09.05.2020;3,8;-
Narvik Sentrum;SN84701;10.05.2020;4,3;-
Narvik Sentrum;SN84701;11.05.2020;3,5;-
Narvik Sentrum;SN84701;12.05.2020;3,6;-
Narvik Sentrum;SN84701;13.05.2020;4,4;-
Narvik Sentrum;SN84701;14.05.2020;5,2;-
Narvik Sentrum;SN84701;15.05.2020;4,3;-
Narvik Sentrum;SN84701;16.05.2020;9,6;-
Narvik Sentrum;SN84701;17.05.2020;8,7;-
Narvik Sentrum;SN84701;18.05.2020;6;-
Narvik Sentrum;SN84701;19.05.2020;6,8;-
Narvik Sentrum;SN84701;20.05.2020;7,1;-
Narvik Sentrum;SN84701;21.05.2020;8,7;-
Narvik Sentrum;SN84701;22.05.2020;12,9;-
Narvik Sentrum;SN84701;23.05.2020;17,3;-
Narvik Sentrum;SN84701;24.05.2020;14,5;-
Narvik Sentrum;SN84701;25.05.2020;13,1;-
Narvik Sentrum;SN84701;26.05.2020;14;-
Narvik Sentrum;SN84701;27.05.2020;11,7;-
Narvik Sentrum;SN84701;28.05.2020;8,7;-
Narvik Sentrum;SN84701;29.05.2020;8,1;-
Narvik Sentrum;SN84701;30.05.2020;10,4;-
Narvik Sentrum;SN84701;31.05.2020;18,2;-
Narvik Sentrum;SN84701;01.06.2020;20,1;-
Narvik Sentrum;SN84701;02.06.2020;16,6;-
Narvik Sentrum;SN84701;03.06.2020;11,5;-
Narvik Sentrum;SN84701;04.06.2020;17,3;-
Narvik Sentrum;SN84701;05.06.2020;20,8;-
Narvik Sentrum;SN84701;06.06.2020;16,4;-
Narvik Sentrum;SN84701;07.06.2020;12,9;-
Narvik Sentrum;SN84701;08.06.2020;9,3;-
Narvik Sentrum;SN84701;09.06.2020;11,2;-
Narvik Sentrum;SN84701;10.06.2020;13,3;-
Narvik Sentrum;SN84701;11.06.2020;12,4;-
Narvik Sentrum;SN84701;12.06.2020;17,6;-
Narvik Sentrum;SN84701;13.06.2020;25,5;-
Narvik Sentrum;SN84701;14.06.2020;22,8;-
Narvik Sentrum;SN84701;15.06.2020;12,9;-
Narvik Sentrum;SN84701;16.06.2020;15,8;-
Narvik Sentrum;SN84701;17.06.2020;22,1;-
Narvik Sentrum;SN84701;18.06.2020;19,6;-
Narvik Sentrum;SN84701;19.06.2020;14,4;-
Narvik Sentrum;SN84701;20.06.2020;22,9;-
Narvik Sentrum;SN84701;21.06.2020;26,1;-
Narvik Sentrum;SN84701;22.06.2020;28,2;-
Narvik Sentrum;SN84701;23.06.2020;25,5;-
Narvik Sentrum;SN84701;24.06.2020;19,9;-
Narvik Sentrum;SN84701;25.06.2020;17,9;-
Narvik Sentrum;SN84701;26.06.2020;14,9;-
Narvik Sentrum;SN84701;27.06.2020;19;-
Narvik Sentrum;SN84701;28.06.2020;23,8;-
Narvik Sentrum;SN84701;29.06.2020;21;-
Narvik Sentrum;SN84701;30.06.2020;15;-
Narvik Sentrum;SN84701;01.07.2020;10;2,1
Narvik Sentrum;SN84701;02.07.2020;12,5;23
Narvik Sentrum;SN84701;03.07.2020;14,8;3,2
Narvik Sentrum;SN84701;04.07.2020;14,9;0
Narvik Sentrum;SN84701;05.07.2020;14,5;0,2
Narvik Sentrum;SN84701;06.07.2020;16,8;0
Narvik Sentrum;SN84701;07.07.2020;14,5;1,1
Narvik Sentrum;SN84701;08.07.2020;14,9;7
Narvik Sentrum;SN84701;09.07.2020;14,1;0,5
Narvik Sentrum;SN84701;10.07.2020;12,8;3,1
Narvik Sentrum;SN84701;11.07.2020;18,4;0
Narvik Sentrum;SN84701;12.07.2020;15,5;0
Narvik Sentrum;SN84701;13.07.2020;16,3;0,5
Narvik Sentrum;SN84701;14.07.2020;22,1;0
Narvik Sentrum;SN84701;15.07.2020;19,3;0
Narvik Sentrum;SN84701;16.07.2020;21,1;0
Narvik Sentrum;SN84701;17.07.2020;20,3;0,8
Narvik Sentrum;SN84701;18.07.2020;17,2;2,4
Narvik Sentrum;SN84701;19.07.2020;16;0,7
Narvik Sentrum;SN84701;20.07.2020;15,6;1,4
Narvik Sentrum;SN84701;21.07.2020;12,2;12,3
Narvik Sentrum;SN84701;22.07.2020;12,3;27,6
Narvik Sentrum;SN84701;23.07.2020;12,4;6,3
Narvik Sentrum;SN84701;24.07.2020;18,2;3,6
Narvik Sentrum;SN84701;25.07.2020;18,6;8,8
Narvik Sentrum;SN84701;26.07.2020;22,5;0
Narvik Sentrum;SN84701;27.07.2020;24,2;0
Narvik Sentrum;SN84701;28.07.2020;23,8;0
Narvik Sentrum;SN84701;29.07.2020;21,6;0
Narvik Sentrum;SN84701;30.07.2020;24,5;0
Narvik Sentrum;SN84701;31.07.2020;23,3;0
Narvik Sentrum;SN84701;01.08.2020;20,4;0
Narvik Sentrum;SN84701;02.08.2020;22,7;0
Narvik Sentrum;SN84701;03.08.2020;23,4;0
Narvik Sentrum;SN84701;04.08.2020;20,9;0
Narvik Sentrum;SN84701;05.08.2020;17,1;5,7
Narvik Sentrum;SN84701;06.08.2020;21,9;0
Narvik Sentrum;SN84701;07.08.2020;20,3;0,7
Narvik Sentrum;SN84701;08.08.2020;23,8;0
Narvik Sentrum;SN84701;09.08.2020;21;11,3
Narvik Sentrum;SN84701;10.08.2020;15,5;2,4
Narvik Sentrum;SN84701;11.08.2020;21,5;0
Narvik Sentrum;SN84701;12.08.2020;17,4;0
Narvik Sentrum;SN84701;13.08.2020;16,2;0
Narvik Sentrum;SN84701;14.08.2020;14,4;2,2
Narvik Sentrum;SN84701;15.08.2020;15;0,4
Narvik Sentrum;SN84701;16.08.2020;13,3;3,6
Narvik Sentrum;SN84701;17.08.2020;12,1;1,7
Narvik Sentrum;SN84701;18.08.2020;14,9;0
Narvik Sentrum;SN84701;19.08.2020;14;0
Narvik Sentrum;SN84701;20.08.2020;14,3;6,2
Narvik Sentrum;SN84701;21.08.2020;18;0
Narvik Sentrum;SN84701;22.08.2020;23,5;0,2
Narvik Sentrum;SN84701;23.08.2020;16,8;7,8
Narvik Sentrum;SN84701;24.08.2020;12,9;12
Narvik Sentrum;SN84701;25.08.2020;15;3,6
Narvik Sentrum;SN84701;26.08.2020;11,9;0
Narvik Sentrum;SN84701;27.08.2020;12,3;1,8
Narvik Sentrum;SN84701;28.08.2020;11,7;2
Narvik Sentrum;SN84701;29.08.2020;13,7;4,8
Narvik Sentrum;SN84701;30.08.2020;11;2,4
Narvik Sentrum;SN84701;31.08.2020;12;3,4
Narvik Sentrum;SN84701;01.09.2020;14,5;6,2
Narvik Sentrum;SN84701;02.09.2020;16;0
Narvik Sentrum;SN84701;03.09.2020;21,8;0
Narvik Sentrum;SN84701;04.09.2020;17;0
Narvik Sentrum;SN84701;05.09.2020;15,7;11
Narvik Sentrum;SN84701;06.09.2020;13,4;1,2
