Delivery Start (CET);Delivery End (CET);NO4 Fossil Gas (MW);NO4 Hydro Run Of River And Poundage (MW);NO4 Hydro Water Reservoir (MW);NO4 Other (MW);NO4 Other Renewable (MW);NO4 Wind Offshore (MW);NO4 Wind Onshore (MW);NO4 Total (MW)
04.01.2023 00:00:00;04.01.2023 01:00:00;195;149;3704;;48;;297;4393
04.01.2023 01:00:00;04.01.2023 02:00:00;195;147;3687;;49;;323;4401
04.01.2023 02:00:00;04.01.2023 03:00:00;195;145;3531;;51;;358;4280
04.01.2023 03:00:00;04.01.2023 04:00:00;196;145;3378;;50;;385;4154
04.01.2023 04:00:00;04.01.2023 05:00:00;196;147;3408;;49;;408;4208
04.01.2023 05:00:00;04.01.2023 06:00:00;196;147;3369;;50;;439;4201
04.01.2023 06:00:00;04.01.2023 07:00:00;196;148;3500;;50;;423;4317
04.01.2023 07:00:00;04.01.2023 08:00:00;196;145;3582;;48;;483;4454
04.01.2023 08:00:00;04.01.2023 09:00:00;196;132;3551;;40;;524;4443
04.01.2023 09:00:00;04.01.2023 10:00:00;196;132;3571;;43;;606;4548
04.01.2023 10:00:00;04.01.2023 11:00:00;194;135;3539;;39;;643;4550
04.01.2023 11:00:00;04.01.2023 12:00:00;197;142;3511;;46;;662;4558
04.01.2023 12:00:00;04.01.2023 13:00:00;197;143;3515;;46;;635;4536
04.01.2023 13:00:00;04.01.2023 14:00:00;197;141;3490;;47;;640;4515
04.01.2023 14:00:00;04.01.2023 15:00:00;197;141;3467;;46;;677;4528
04.01.2023 15:00:00;04.01.2023 16:00:00;197;141;3461;;47;;610;4456
04.01.2023 16:00:00;04.01.2023 17:00:00;197;142;3433;;48;;620;4440
04.01.2023 17:00:00;04.01.2023 18:00:00;197;142;3436;;47;;643;4465
04.01.2023 18:00:00;04.01.2023 19:00:00;197;142;3440;;47;;666;4492
04.01.2023 19:00:00;04.01.2023 20:00:00;196;142;3449;;46;;650;4483
04.01.2023 20:00:00;04.01.2023 21:00:00;196;140;3419;;47;;647;4449
04.01.2023 21:00:00;04.01.2023 22:00:00;196;141;3362;;48;;627;4374
04.01.2023 22:00:00;04.01.2023 23:00:00;196;143;3267;;48;;534;4188
04.01.2023 23:00:00;05.01.2023 00:00:00;196;143;3012;;49;;475;3875
05.01.2023 00:00:00;05.01.2023 01:00:00;196;139;2916;;49;;481;3781
05.01.2023 01:00:00;05.01.2023 02:00:00;196;139;3144;;49;;514;4042
05.01.2023 02:00:00;05.01.2023 03:00:00;196;142;3194;;47;;526;4105
05.01.2023 03:00:00;05.01.2023 04:00:00;195;139;3153;;47;;466;4000
05.01.2023 04:00:00;05.01.2023 05:00:00;196;139;3208;;48;;439;4030
05.01.2023 05:00:00;05.01.2023 06:00:00;196;138;3243;;47;;473;4097
05.01.2023 06:00:00;05.01.2023 07:00:00;196;137;3255;;46;;505;4139
05.01.2023 07:00:00;05.01.2023 08:00:00;197;144;3650;;40;;539;4570
05.01.2023 08:00:00;05.01.2023 09:00:00;197;146;3845;;39;;504;4731
05.01.2023 09:00:00;05.01.2023 10:00:00;197;148;3718;;42;;509;4614
05.01.2023 10:00:00;05.01.2023 11:00:00;196;146;3590;;38;;492;4462
05.01.2023 11:00:00;05.01.2023 12:00:00;196;145;3562;;43;;527;4473
05.01.2023 12:00:00;05.01.2023 13:00:00;197;146;3572;;43;;546;4504
05.01.2023 13:00:00;05.01.2023 14:00:00;197;146;3475;;44;;644;4506
05.01.2023 14:00:00;05.01.2023 15:00:00;196;146;3486;;45;;658;4531
05.01.2023 15:00:00;05.01.2023 16:00:00;197;143;3496;;39;;658;4533
05.01.2023 16:00:00;05.01.2023 17:00:00;197;140;3466;;47;;668;4518
05.01.2023 17:00:00;05.01.2023 18:00:00;197;138;3404;;46;;713;4498
05.01.2023 18:00:00;05.01.2023 19:00:00;197;138;3404;;47;;763;4549
05.01.2023 19:00:00;05.01.2023 20:00:00;197;138;3363;;45;;779;4522
05.01.2023 20:00:00;05.01.2023 21:00:00;197;133;3360;;45;;804;4539
05.01.2023 21:00:00;05.01.2023 22:00:00;197;134;3302;;47;;843;4523
05.01.2023 22:00:00;05.01.2023 23:00:00;197;134;3220;;45;;887;4483
05.01.2023 23:00:00;06.01.2023 00:00:00;197;133;3151;;47;;884;4412
