Delivery Start (CET);Delivery End (CET);NO4 Fossil Gas (MW);NO4 Hydro Run Of River And Poundage (MW);NO4 Hydro Water Reservoir (MW);NO4 Other (MW);NO4 Other Renewable (MW);NO4 Wind Offshore (MW);NO4 Wind Onshore (MW);NO4 Total (MW)
10.04.2023 01:00:00;10.04.2023 02:00:00;181;141;2399;;38;;437;3196
10.04.2023 02:00:00;10.04.2023 03:00:00;180;138;2441;;40;;454;3253
10.04.2023 03:00:00;10.04.2023 04:00:00;180;140;2548;;51;;495;3414
10.04.2023 04:00:00;10.04.2023 05:00:00;180;141;2566;;48;;426;3361
10.04.2023 05:00:00;10.04.2023 06:00:00;180;142;2595;;42;;377;3336
10.04.2023 06:00:00;10.04.2023 07:00:00;180;142;2612;;42;;386;3362
10.04.2023 07:00:00;10.04.2023 08:00:00;180;140;2818;;42;;366;3546
10.04.2023 08:00:00;10.04.2023 09:00:00;180;123;3101;;49;;359;3812
10.04.2023 09:00:00;10.04.2023 10:00:00;180;126;2959;;48;;343;3656
10.04.2023 10:00:00;10.04.2023 11:00:00;181;126;1882;;50;;405;2644
10.04.2023 11:00:00;10.04.2023 12:00:00;180;130;1148;;52;;408;1918
10.04.2023 12:00:00;10.04.2023 13:00:00;180;127;1109;;50;;443;1909
10.04.2023 13:00:00;10.04.2023 14:00:00;180;105;1111;;53;;465;1914
10.04.2023 14:00:00;10.04.2023 15:00:00;180;106;1199;;55;;398;1938
10.04.2023 15:00:00;10.04.2023 16:00:00;181;105;1226;;54;;527;2093
10.04.2023 16:00:00;10.04.2023 17:00:00;180;103;1234;;52;;534;2103
10.04.2023 17:00:00;10.04.2023 18:00:00;180;102;1870;;50;;484;2686
10.04.2023 18:00:00;10.04.2023 19:00:00;180;102;3026;;48;;496;3852
10.04.2023 19:00:00;10.04.2023 20:00:00;180;104;3117;;45;;520;3966
10.04.2023 20:00:00;10.04.2023 21:00:00;180;104;2961;;45;;466;3756
10.04.2023 21:00:00;10.04.2023 22:00:00;180;103;1808;;43;;539;2673
10.04.2023 22:00:00;10.04.2023 23:00:00;180;107;1186;;47;;532;2052
10.04.2023 23:00:00;11.04.2023 00:00:00;180;108;1206;;47;;527;2068
11.04.2023 00:00:00;11.04.2023 01:00:00;181;103;1217;;47;;520;2068
11.04.2023 01:00:00;11.04.2023 02:00:00;181;103;1130;;49;;509;1972
11.04.2023 02:00:00;11.04.2023 03:00:00;181;115;1105;;48;;485;1934
11.04.2023 03:00:00;11.04.2023 04:00:00;181;130;1106;;47;;477;1941
11.04.2023 04:00:00;11.04.2023 05:00:00;182;134;1246;;46;;476;2084
11.04.2023 05:00:00;11.04.2023 06:00:00;182;136;2326;;42;;482;3168
11.04.2023 06:00:00;11.04.2023 07:00:00;182;155;2819;;42;;528;3726
11.04.2023 07:00:00;11.04.2023 08:00:00;182;168;3030;;46;;516;3942
11.04.2023 08:00:00;11.04.2023 09:00:00;181;146;3106;;45;;526;4004
11.04.2023 09:00:00;11.04.2023 10:00:00;183;138;3111;;46;;540;4018
11.04.2023 10:00:00;11.04.2023 11:00:00;184;137;3115;;44;;561;4041
11.04.2023 11:00:00;11.04.2023 12:00:00;183;132;2779;;47;;574;3715
11.04.2023 12:00:00;11.04.2023 13:00:00;183;132;2698;;57;;552;3622
11.04.2023 13:00:00;11.04.2023 14:00:00;185;129;2131;;53;;572;3070
11.04.2023 14:00:00;11.04.2023 15:00:00;187;119;1752;;49;;578;2685
11.04.2023 15:00:00;11.04.2023 16:00:00;186;121;2400;;49;;579;3335
11.04.2023 16:00:00;11.04.2023 17:00:00;185;119;2990;;45;;602;3941
11.04.2023 17:00:00;11.04.2023 18:00:00;184;124;2927;;45;;581;3861
11.04.2023 18:00:00;11.04.2023 19:00:00;183;124;3022;;44;;524;3897
11.04.2023 19:00:00;11.04.2023 20:00:00;184;126;3098;;44;;506;3958
11.04.2023 20:00:00;11.04.2023 21:00:00;182;126;3080;;45;;515;3948
11.04.2023 21:00:00;11.04.2023 22:00:00;182;126;2892;;48;;552;3800
11.04.2023 22:00:00;11.04.2023 23:00:00;182;128;2496;;47;;576;3429
11.04.2023 23:00:00;12.04.2023 00:00:00;182;125;2347;;49;;522;3225
12.04.2023 00:00:00;12.04.2023 01:00:00;183;124;2340;;47;;525;3219
12.04.2023 01:00:00;12.04.2023 02:00:00;182;123;2409;;45;;588;3347
12.04.2023 02:00:00;12.04.2023 03:00:00;182;125;2491;;45;;594;3437
12.04.2023 03:00:00;12.04.2023 04:00:00;182;123;2717;;49;;550;3621
12.04.2023 04:00:00;12.04.2023 05:00:00;182;126;2958;;43;;554;3863
12.04.2023 05:00:00;12.04.2023 06:00:00;182;128;2924;;46;;584;3864
12.04.2023 06:00:00;12.04.2023 07:00:00;182;130;2910;;44;;599;3865
12.04.2023 07:00:00;12.04.2023 08:00:00;182;130;2885;;44;;664;3905
12.04.2023 08:00:00;12.04.2023 09:00:00;182;128;2548;;45;;703;3606
12.04.2023 09:00:00;12.04.2023 10:00:00;181;123;2353;;42;;778;3477
12.04.2023 10:00:00;12.04.2023 11:00:00;182;122;2334;;46;;778;3462
12.04.2023 11:00:00;12.04.2023 12:00:00;183;132;2246;;47;;829;3437
12.04.2023 12:00:00;12.04.2023 13:00:00;183;124;2243;;49;;892;3491
12.04.2023 13:00:00;12.04.2023 14:00:00;183;124;2319;;47;;904;3577
12.04.2023 14:00:00;12.04.2023 15:00:00;183;125;2211;;48;;936;3503
12.04.2023 15:00:00;12.04.2023 16:00:00;182;126;2196;;45;;942;3491
12.04.2023 16:00:00;12.04.2023 17:00:00;182;128;2350;;46;;900;3606
12.04.2023 17:00:00;12.04.2023 18:00:00;183;131;2658;;44;;917;3933
12.04.2023 18:00:00;12.04.2023 19:00:00;182;133;2482;;46;;928;3771
12.04.2023 19:00:00;12.04.2023 20:00:00;183;134;2292;;43;;884;3536
12.04.2023 20:00:00;12.04.2023 21:00:00;182;127;1812;;40;;909;3070
12.04.2023 21:00:00;12.04.2023 22:00:00;182;103;1260;;46;;897;2488
12.04.2023 22:00:00;12.04.2023 23:00:00;182;98;1068;;45;;876;2269
12.04.2023 23:00:00;13.04.2023 00:00:00;182;97;1000;;46;;870;2195
13.04.2023 00:00:00;13.04.2023 01:00:00;182;105;1007;;44;;925;2263
13.04.2023 01:00:00;13.04.2023 02:00:00;182;105;947;;45;;923;2202
13.04.2023 02:00:00;13.04.2023 03:00:00;182;107;840;;47;;877;2053
13.04.2023 03:00:00;13.04.2023 04:00:00;183;107;818;;48;;842;1998
13.04.2023 04:00:00;13.04.2023 05:00:00;183;97;840;;44;;827;1991
13.04.2023 05:00:00;13.04.2023 06:00:00;183;106;1041;;45;;843;2218
13.04.2023 06:00:00;13.04.2023 07:00:00;183;106;1340;;45;;858;2532
13.04.2023 07:00:00;13.04.2023 08:00:00;183;122;1683;;45;;848;2881
13.04.2023 08:00:00;13.04.2023 09:00:00;183;138;1849;;46;;801;3017
13.04.2023 09:00:00;13.04.2023 10:00:00;183;150;2028;;45;;793;3199
13.04.2023 10:00:00;13.04.2023 11:00:00;184;145;1915;;46;;778;3068
13.04.2023 11:00:00;13.04.2023 12:00:00;185;144;1765;;45;;791;2930
13.04.2023 12:00:00;13.04.2023 13:00:00;185;142;1703;;46;;804;2880
13.04.2023 13:00:00;13.04.2023 14:00:00;188;135;1464;;46;;760;2593
13.04.2023 14:00:00;13.04.2023 15:00:00;188;144;1246;;45;;753;2376
13.04.2023 15:00:00;13.04.2023 16:00:00;187;139;1255;;48;;725;2354
13.04.2023 16:00:00;13.04.2023 17:00:00;187;139;1298;;44;;734;2402
13.04.2023 17:00:00;13.04.2023 18:00:00;187;140;1365;;43;;707;2442
13.04.2023 18:00:00;13.04.2023 19:00:00;187;142;1392;;43;;708;2472
13.04.2023 19:00:00;13.04.2023 20:00:00;187;139;1422;;44;;691;2483
13.04.2023 20:00:00;13.04.2023 21:00:00;187;136;1333;;45;;737;2438
13.04.2023 21:00:00;13.04.2023 22:00:00;188;136;1181;;47;;733;2285
13.04.2023 22:00:00;13.04.2023 23:00:00;188;128;996;;43;;755;2110
13.04.2023 23:00:00;14.04.2023 00:00:00;188;128;921;;45;;760;2042
14.04.2023 00:00:00;14.04.2023 01:00:00;188;113;1022;;45;;748;2116
14.04.2023 01:00:00;14.04.2023 02:00:00;188;112;1009;;46;;773;2128
14.04.2023 02:00:00;14.04.2023 03:00:00;188;114;1092;;43;;734;2171
14.04.2023 03:00:00;14.04.2023 04:00:00;188;121;1188;;47;;716;2260
14.04.2023 04:00:00;14.04.2023 05:00:00;188;99;1483;;43;;739;2552
14.04.2023 05:00:00;14.04.2023 06:00:00;189;112;1746;;45;;717;2809
14.04.2023 06:00:00;14.04.2023 07:00:00;189;130;2023;;44;;682;3068
14.04.2023 07:00:00;14.04.2023 08:00:00;189;144;2367;;44;;664;3408
14.04.2023 08:00:00;14.04.2023 09:00:00;189;140;2711;;44;;670;3754
14.04.2023 09:00:00;14.04.2023 10:00:00;188;162;2846;;44;;628;3868
14.04.2023 10:00:00;14.04.2023 11:00:00;188;160;3045;;46;;637;4076
14.04.2023 11:00:00;14.04.2023 12:00:00;189;151;2983;;44;;640;4007
14.04.2023 12:00:00;14.04.2023 13:00:00;188;153;2820;;46;;630;3837
14.04.2023 13:00:00;14.04.2023 14:00:00;187;147;2682;;44;;663;3723
14.04.2023 14:00:00;14.04.2023 15:00:00;187;151;2842;;45;;693;3918
14.04.2023 15:00:00;14.04.2023 16:00:00;186;155;2658;;47;;693;3739
14.04.2023 16:00:00;14.04.2023 17:00:00;186;155;2748;;45;;640;3774
14.04.2023 17:00:00;14.04.2023 18:00:00;187;157;2683;;43;;682;3752
14.04.2023 18:00:00;14.04.2023 19:00:00;187;156;2699;;44;;647;3733
14.04.2023 19:00:00;14.04.2023 20:00:00;187;156;2683;;53;;635;3714
14.04.2023 20:00:00;14.04.2023 21:00:00;185;156;2695;;43;;621;3700
14.04.2023 21:00:00;14.04.2023 22:00:00;186;143;2489;;40;;585;3443
14.04.2023 22:00:00;14.04.2023 23:00:00;186;140;2222;;46;;556;3150
14.04.2023 23:00:00;15.04.2023 00:00:00;187;135;1892;;48;;565;2827
15.04.2023 00:00:00;15.04.2023 01:00:00;187;134;2044;;46;;579;2990
15.04.2023 01:00:00;15.04.2023 02:00:00;187;140;2099;;47;;566;3039
15.04.2023 02:00:00;15.04.2023 03:00:00;187;148;2318;;46;;533;3232
15.04.2023 03:00:00;15.04.2023 04:00:00;188;148;2672;;42;;527;3577
15.04.2023 04:00:00;15.04.2023 05:00:00;188;150;3007;;43;;493;3881
15.04.2023 05:00:00;15.04.2023 06:00:00;188;147;3166;;45;;482;4028
15.04.2023 06:00:00;15.04.2023 07:00:00;188;155;3232;;42;;494;4111
15.04.2023 07:00:00;15.04.2023 08:00:00;188;156;3291;;41;;487;4163
15.04.2023 08:00:00;15.04.2023 09:00:00;188;155;3274;;43;;481;4141
15.04.2023 09:00:00;15.04.2023 10:00:00;188;158;3308;;45;;463;4162
15.04.2023 10:00:00;15.04.2023 11:00:00;187;157;3074;;47;;487;3952
15.04.2023 11:00:00;15.04.2023 12:00:00;187;156;3004;;47;;473;3867
15.04.2023 12:00:00;15.04.2023 13:00:00;188;151;3007;;47;;448;3841
15.04.2023 13:00:00;15.04.2023 14:00:00;189;155;2994;;47;;393;3778
15.04.2023 14:00:00;15.04.2023 15:00:00;189;151;3050;;46;;374;3810
15.04.2023 15:00:00;15.04.2023 16:00:00;189;152;3209;;47;;341;3938
15.04.2023 16:00:00;15.04.2023 17:00:00;188;152;3323;;45;;325;4033
15.04.2023 17:00:00;15.04.2023 18:00:00;188;152;3438;;44;;322;4144
15.04.2023 18:00:00;15.04.2023 19:00:00;188;150;3435;;44;;310;4127
15.04.2023 19:00:00;15.04.2023 20:00:00;187;150;3403;;44;;284;4068
15.04.2023 20:00:00;15.04.2023 21:00:00;186;155;3376;;45;;299;4061
15.04.2023 21:00:00;15.04.2023 22:00:00;186;145;3525;;45;;293;4194
15.04.2023 22:00:00;15.04.2023 23:00:00;186;142;3418;;45;;272;4063
15.04.2023 23:00:00;16.04.2023 00:00:00;187;142;3210;;45;;246;3830
16.04.2023 00:00:00;16.04.2023 01:00:00;187;140;3263;;44;;217;3851
16.04.2023 01:00:00;16.04.2023 02:00:00;187;146;3398;;44;;206;3981
16.04.2023 02:00:00;16.04.2023 03:00:00;188;145;3491;;43;;179;4046
16.04.2023 03:00:00;16.04.2023 04:00:00;188;147;3503;;42;;160;4040
16.04.2023 04:00:00;16.04.2023 05:00:00;188;149;3541;;41;;131;4050
16.04.2023 05:00:00;16.04.2023 06:00:00;185;147;3591;;42;;115;4080
16.04.2023 06:00:00;16.04.2023 07:00:00;186;147;3569;;41;;84;4027
16.04.2023 07:00:00;16.04.2023 08:00:00;186;147;3585;;41;;68;4027
16.04.2023 08:00:00;16.04.2023 09:00:00;185;146;3438;;42;;45;3856
16.04.2023 09:00:00;16.04.2023 10:00:00;185;149;3494;;42;;43;3913
16.04.2023 10:00:00;16.04.2023 11:00:00;185;150;3577;;43;;32;3987
16.04.2023 11:00:00;16.04.2023 12:00:00;185;150;3549;;43;;36;3963
16.04.2023 12:00:00;16.04.2023 13:00:00;188;148;3555;;44;;46;3981
16.04.2023 13:00:00;16.04.2023 14:00:00;188;152;3585;;45;;47;4017
16.04.2023 14:00:00;16.04.2023 15:00:00;186;152;3551;;44;;53;3986
16.04.2023 15:00:00;16.04.2023 16:00:00;185;156;3585;;42;;55;4023
16.04.2023 16:00:00;16.04.2023 17:00:00;185;156;3553;;42;;73;4009
16.04.2023 17:00:00;16.04.2023 18:00:00;185;155;3549;;40;;116;4045
16.04.2023 18:00:00;16.04.2023 19:00:00;185;155;3547;;42;;78;4007
16.04.2023 19:00:00;16.04.2023 20:00:00;185;151;3383;;41;;67;3827
16.04.2023 20:00:00;16.04.2023 21:00:00;185;151;3350;;47;;77;3810
16.04.2023 21:00:00;16.04.2023 22:00:00;185;150;3385;;43;;71;3834
16.04.2023 22:00:00;16.04.2023 23:00:00;185;149;3310;;44;;67;3755
16.04.2023 23:00:00;17.04.2023 00:00:00;185;150;3294;;44;;71;3744
17.04.2023 00:00:00;17.04.2023 01:00:00;183;145;3306;;45;;80;3759
17.04.2023 01:00:00;17.04.2023 02:00:00;183;144;3309;;46;;81;3763
17.04.2023 02:00:00;17.04.2023 03:00:00;183;144;3328;;40;;95;3790
17.04.2023 03:00:00;17.04.2023 04:00:00;183;144;3320;;37;;120;3804
17.04.2023 04:00:00;17.04.2023 05:00:00;182;142;3313;;45;;96;3778
17.04.2023 05:00:00;17.04.2023 06:00:00;183;142;3317;;53;;119;3814
17.04.2023 06:00:00;17.04.2023 07:00:00;184;141;3345;;58;;128;3856
17.04.2023 07:00:00;17.04.2023 08:00:00;184;144;3506;;55;;117;4006
17.04.2023 08:00:00;17.04.2023 09:00:00;183;145;3550;;53;;117;4048
17.04.2023 09:00:00;17.04.2023 10:00:00;182;143;3476;;55;;128;3984
17.04.2023 10:00:00;17.04.2023 11:00:00;183;144;3385;;52;;185;3949
17.04.2023 11:00:00;17.04.2023 12:00:00;184;143;3360;;46;;245;3978
17.04.2023 12:00:00;17.04.2023 13:00:00;184;143;3344;;44;;251;3966
17.04.2023 13:00:00;17.04.2023 14:00:00;184;142;3293;;41;;256;3916
17.04.2023 14:00:00;17.04.2023 15:00:00;184;142;3289;;44;;271;3930
17.04.2023 15:00:00;17.04.2023 16:00:00;184;143;3319;;44;;262;3952
17.04.2023 16:00:00;17.04.2023 17:00:00;184;143;3309;;42;;288;3966
17.04.2023 17:00:00;17.04.2023 18:00:00;184;145;3286;;41;;285;3941
17.04.2023 18:00:00;17.04.2023 19:00:00;183;144;3266;;41;;300;3934
17.04.2023 19:00:00;17.04.2023 20:00:00;182;153;3407;;42;;234;4018
17.04.2023 20:00:00;17.04.2023 21:00:00;183;176;3468;;45;;220;4092
17.04.2023 21:00:00;17.04.2023 22:00:00;183;159;3352;;46;;194;3934
17.04.2023 22:00:00;17.04.2023 23:00:00;184;149;3305;;46;;166;3850
17.04.2023 23:00:00;18.04.2023 00:00:00;184;149;3275;;46;;174;3828
18.04.2023 00:00:00;18.04.2023 01:00:00;183;143;3267;;44;;147;3784
18.04.2023 01:00:00;18.04.2023 02:00:00;183;142;3277;;45;;148;3795
18.04.2023 02:00:00;18.04.2023 03:00:00;181;144;3292;;45;;146;3808
18.04.2023 03:00:00;18.04.2023 04:00:00;181;144;3279;;44;;133;3781
18.04.2023 04:00:00;18.04.2023 05:00:00;181;143;3242;;44;;133;3743
18.04.2023 05:00:00;18.04.2023 06:00:00;181;143;3226;;44;;144;3738
18.04.2023 06:00:00;18.04.2023 07:00:00;180;144;3337;;43;;154;3858
18.04.2023 07:00:00;18.04.2023 08:00:00;181;144;3375;;37;;180;3917
18.04.2023 08:00:00;18.04.2023 09:00:00;182;164;3411;;38;;262;4057
18.04.2023 09:00:00;18.04.2023 10:00:00;182;155;3297;;37;;311;3982
18.04.2023 10:00:00;18.04.2023 11:00:00;181;141;3219;;41;;297;3879
18.04.2023 11:00:00;18.04.2023 12:00:00;182;140;3195;;41;;301;3859
18.04.2023 12:00:00;18.04.2023 13:00:00;184;140;3168;;59;;366;3917
18.04.2023 13:00:00;18.04.2023 14:00:00;184;141;3150;;40;;359;3874
18.04.2023 14:00:00;18.04.2023 15:00:00;184;140;3086;;37;;341;3788
18.04.2023 15:00:00;18.04.2023 16:00:00;184;141;3064;;39;;420;3848
18.04.2023 16:00:00;18.04.2023 17:00:00;184;145;3004;;38;;467;3838
18.04.2023 17:00:00;18.04.2023 18:00:00;183;146;3000;;38;;469;3836
18.04.2023 18:00:00;18.04.2023 19:00:00;183;146;3057;;39;;522;3947
18.04.2023 19:00:00;18.04.2023 20:00:00;184;146;3112;;37;;570;4049
18.04.2023 20:00:00;18.04.2023 21:00:00;183;147;3189;;40;;569;4128
18.04.2023 21:00:00;18.04.2023 22:00:00;181;146;3100;;41;;573;4041
18.04.2023 22:00:00;18.04.2023 23:00:00;181;146;3051;;41;;569;3988
18.04.2023 23:00:00;19.04.2023 00:00:00;181;145;3025;;41;;536;3928
19.04.2023 00:00:00;19.04.2023 01:00:00;182;141;3045;;41;;460;3869
19.04.2023 01:00:00;19.04.2023 02:00:00;182;144;3032;;41;;383;3782
19.04.2023 02:00:00;19.04.2023 03:00:00;182;145;3031;;38;;335;3731
19.04.2023 03:00:00;19.04.2023 04:00:00;182;145;3030;;40;;339;3736
19.04.2023 04:00:00;19.04.2023 05:00:00;182;145;3042;;38;;342;3749
19.04.2023 05:00:00;19.04.2023 06:00:00;183;146;3070;;41;;358;3798
19.04.2023 06:00:00;19.04.2023 07:00:00;182;145;3111;;40;;351;3829
19.04.2023 07:00:00;19.04.2023 08:00:00;183;154;3222;;44;;395;3998
19.04.2023 08:00:00;19.04.2023 09:00:00;183;157;3208;;43;;398;3989
19.04.2023 09:00:00;19.04.2023 10:00:00;183;156;3167;;41;;346;3893
19.04.2023 10:00:00;19.04.2023 11:00:00;183;156;3102;;44;;353;3838
19.04.2023 11:00:00;19.04.2023 12:00:00;183;157;3159;;45;;371;3915
19.04.2023 12:00:00;19.04.2023 13:00:00;183;157;2859;;54;;346;3599
19.04.2023 13:00:00;19.04.2023 14:00:00;183;156;2468;;50;;360;3217
19.04.2023 14:00:00;19.04.2023 15:00:00;183;159;2674;;39;;320;3375
19.04.2023 15:00:00;19.04.2023 16:00:00;183;163;2949;;19;;316;3630
19.04.2023 16:00:00;19.04.2023 17:00:00;183;165;3148;;31;;323;3850
19.04.2023 17:00:00;19.04.2023 18:00:00;183;166;3103;;38;;319;3809
19.04.2023 18:00:00;19.04.2023 19:00:00;182;167;3119;;37;;360;3865
19.04.2023 19:00:00;19.04.2023 20:00:00;182;166;3189;;39;;378;3954
19.04.2023 20:00:00;19.04.2023 21:00:00;182;164;3201;;37;;390;3974
19.04.2023 21:00:00;19.04.2023 22:00:00;182;164;3126;;41;;426;3939
19.04.2023 22:00:00;19.04.2023 23:00:00;183;158;3036;;43;;393;3813
19.04.2023 23:00:00;20.04.2023 00:00:00;183;160;3035;;50;;481;3909
20.04.2023 00:00:00;20.04.2023 01:00:00;183;151;2940;;46;;608;3928
20.04.2023 01:00:00;20.04.2023 02:00:00;183;157;3124;;39;;632;4135
20.04.2023 02:00:00;20.04.2023 03:00:00;182;155;3121;;34;;621;4113
20.04.2023 03:00:00;20.04.2023 04:00:00;183;152;3042;;34;;547;3958
20.04.2023 04:00:00;20.04.2023 05:00:00;183;159;3026;;39;;460;3867
20.04.2023 05:00:00;20.04.2023 06:00:00;184;160;3035;;40;;393;3812
20.04.2023 06:00:00;20.04.2023 07:00:00;183;162;3140;;41;;363;3889
20.04.2023 07:00:00;20.04.2023 08:00:00;183;167;3256;;40;;369;4015
20.04.2023 08:00:00;20.04.2023 09:00:00;183;176;3254;;40;;395;4048
20.04.2023 09:00:00;20.04.2023 10:00:00;184;185;3148;;37;;392;3946
20.04.2023 10:00:00;20.04.2023 11:00:00;183;178;3122;;37;;358;3878
20.04.2023 11:00:00;20.04.2023 12:00:00;183;166;3086;;37;;408;3880
20.04.2023 12:00:00;20.04.2023 13:00:00;183;167;3123;;41;;435;3949
20.04.2023 13:00:00;20.04.2023 14:00:00;183;164;3128;;43;;426;3944
20.04.2023 14:00:00;20.04.2023 15:00:00;200;167;3045;;43;;440;3895
20.04.2023 15:00:00;20.04.2023 16:00:00;201;170;2998;;44;;477;3890
20.04.2023 16:00:00;20.04.2023 17:00:00;201;165;2932;;41;;547;3886
20.04.2023 17:00:00;20.04.2023 18:00:00;202;169;2923;;40;;565;3899
20.04.2023 18:00:00;20.04.2023 19:00:00;202;169;3006;;40;;507;3924
20.04.2023 19:00:00;20.04.2023 20:00:00;201;166;3052;;37;;502;3958
20.04.2023 20:00:00;20.04.2023 21:00:00;201;164;3036;;39;;482;3922
20.04.2023 21:00:00;20.04.2023 22:00:00;202;166;3023;;46;;510;3947
20.04.2023 22:00:00;20.04.2023 23:00:00;202;167;2944;;43;;472;3828
20.04.2023 23:00:00;21.04.2023 00:00:00;202;175;2852;;39;;431;3699
21.04.2023 00:00:00;21.04.2023 01:00:00;202;184;2993;;39;;396;3814
21.04.2023 01:00:00;21.04.2023 02:00:00;202;184;2980;;37;;429;3832
21.04.2023 02:00:00;21.04.2023 03:00:00;202;188;2999;;36;;470;3895
21.04.2023 03:00:00;21.04.2023 04:00:00;200;185;2986;;37;;396;3804
21.04.2023 04:00:00;21.04.2023 05:00:00;202;186;3018;;37;;353;3796
21.04.2023 05:00:00;21.04.2023 06:00:00;201;187;3022;;40;;339;3789
21.04.2023 06:00:00;21.04.2023 07:00:00;201;188;3120;;39;;346;3894
21.04.2023 07:00:00;21.04.2023 08:00:00;197;188;3227;;42;;310;3964
21.04.2023 08:00:00;21.04.2023 09:00:00;184;189;3272;;39;;291;3975
21.04.2023 09:00:00;21.04.2023 10:00:00;184;193;3280;;40;;252;3949
21.04.2023 10:00:00;21.04.2023 11:00:00;184;195;3253;;49;;272;3953
21.04.2023 11:00:00;21.04.2023 12:00:00;185;194;3224;;39;;343;3985
21.04.2023 12:00:00;21.04.2023 13:00:00;184;198;3366;;38;;386;4172
21.04.2023 13:00:00;21.04.2023 14:00:00;184;187;3089;;38;;408;3906
21.04.2023 14:00:00;21.04.2023 15:00:00;194;184;3064;;36;;373;3851
21.04.2023 15:00:00;21.04.2023 16:00:00;203;186;3120;;41;;375;3925
21.04.2023 16:00:00;21.04.2023 17:00:00;202;189;3103;;42;;444;3980
21.04.2023 17:00:00;21.04.2023 18:00:00;203;191;3115;;38;;490;4037
21.04.2023 18:00:00;21.04.2023 19:00:00;205;189;3109;;36;;486;4025
21.04.2023 19:00:00;21.04.2023 20:00:00;204;189;3100;;38;;421;3952
21.04.2023 20:00:00;21.04.2023 21:00:00;205;188;2971;;43;;456;3863
21.04.2023 21:00:00;21.04.2023 22:00:00;206;204;2881;;49;;427;3767
21.04.2023 22:00:00;21.04.2023 23:00:00;205;206;2789;;44;;393;3637
21.04.2023 23:00:00;22.04.2023 00:00:00;204;204;2361;;45;;423;3237
22.04.2023 00:00:00;22.04.2023 01:00:00;204;207;1938;;46;;472;2867
22.04.2023 01:00:00;22.04.2023 02:00:00;204;207;1846;;44;;539;2840
22.04.2023 02:00:00;22.04.2023 03:00:00;203;208;1888;;42;;578;2919
22.04.2023 03:00:00;22.04.2023 04:00:00;204;207;2217;;43;;558;3229
22.04.2023 04:00:00;22.04.2023 05:00:00;204;212;2583;;41;;602;3642
22.04.2023 05:00:00;22.04.2023 06:00:00;204;220;2657;;45;;572;3698
22.04.2023 06:00:00;22.04.2023 07:00:00;205;223;2768;;41;;477;3714
22.04.2023 07:00:00;22.04.2023 08:00:00;205;222;2807;;39;;597;3870
22.04.2023 08:00:00;22.04.2023 09:00:00;205;233;2865;;41;;495;3839
22.04.2023 09:00:00;22.04.2023 10:00:00;204;232;2857;;45;;566;3904
22.04.2023 10:00:00;22.04.2023 11:00:00;203;231;2834;;47;;654;3969
22.04.2023 11:00:00;22.04.2023 12:00:00;201;237;2691;;43;;505;3677
22.04.2023 12:00:00;22.04.2023 13:00:00;201;227;2034;;40;;511;3013
22.04.2023 13:00:00;22.04.2023 14:00:00;202;224;1641;;46;;473;2586
22.04.2023 14:00:00;22.04.2023 15:00:00;202;223;1589;;45;;515;2574
22.04.2023 15:00:00;22.04.2023 16:00:00;201;232;2355;;47;;488;3323
22.04.2023 16:00:00;22.04.2023 17:00:00;202;228;2750;;43;;560;3783
22.04.2023 17:00:00;22.04.2023 18:00:00;201;228;2809;;41;;575;3854
22.04.2023 18:00:00;22.04.2023 19:00:00;201;246;3179;;34;;579;4239
22.04.2023 19:00:00;22.04.2023 20:00:00;201;246;3241;;38;;519;4245
22.04.2023 20:00:00;22.04.2023 21:00:00;202;243;3014;;43;;461;3963
22.04.2023 21:00:00;22.04.2023 22:00:00;201;242;2973;;39;;424;3879
22.04.2023 22:00:00;22.04.2023 23:00:00;201;240;2915;;38;;406;3800
22.04.2023 23:00:00;23.04.2023 00:00:00;202;239;2871;;41;;443;3796
23.04.2023 00:00:00;23.04.2023 01:00:00;202;207;2813;;42;;410;3674
23.04.2023 01:00:00;23.04.2023 02:00:00;202;205;2773;;41;;379;3600
23.04.2023 02:00:00;23.04.2023 03:00:00;201;201;2771;;39;;308;3520
23.04.2023 03:00:00;23.04.2023 04:00:00;202;189;2813;;38;;319;3561
23.04.2023 04:00:00;23.04.2023 05:00:00;201;188;2993;;40;;290;3712
23.04.2023 05:00:00;23.04.2023 06:00:00;201;185;2949;;40;;334;3709
23.04.2023 06:00:00;23.04.2023 07:00:00;202;184;2945;;40;;336;3707
23.04.2023 07:00:00;23.04.2023 08:00:00;201;181;2911;;42;;311;3646
23.04.2023 08:00:00;23.04.2023 09:00:00;201;188;3063;;43;;323;3818
23.04.2023 09:00:00;23.04.2023 10:00:00;202;209;3100;;44;;301;3856
23.04.2023 10:00:00;23.04.2023 11:00:00;202;214;3072;;22;;336;3846
23.04.2023 11:00:00;23.04.2023 12:00:00;202;211;3101;;23;;334;3871
23.04.2023 12:00:00;23.04.2023 13:00:00;202;205;2933;;20;;309;3669
23.04.2023 13:00:00;23.04.2023 14:00:00;202;212;1938;;20;;310;2682
23.04.2023 14:00:00;23.04.2023 15:00:00;202;209;1798;;21;;272;2502
23.04.2023 15:00:00;23.04.2023 16:00:00;201;209;2893;;21;;281;3605
23.04.2023 16:00:00;23.04.2023 17:00:00;202;219;3144;;23;;286;3874
23.04.2023 17:00:00;23.04.2023 18:00:00;201;234;3360;;24;;280;4099
23.04.2023 18:00:00;23.04.2023 19:00:00;202;236;3322;;23;;307;4090
