Delivery Start (CET);Delivery End (CET);FI Volume (MW);NO3 Volume (MW);NO4 Volume (MW);SE1 Volume (MW)
01.01.2020 00:00:00;01.01.2020 01:00:00;9548;3130;2357;969
01.01.2020 01:00:00;01.01.2020 02:00:00;9237;3016;2348;1139
01.01.2020 02:00:00;01.01.2020 03:00:00;9141;2945;2298;1106
01.01.2020 03:00:00;01.01.2020 04:00:00;9149;3032;2284;996
01.01.2020 04:00:00;01.01.2020 05:00:00;9206;2988;2262;1173
01.01.2020 05:00:00;01.01.2020 06:00:00;9432;2848;2245;1079
01.01.2020 06:00:00;01.01.2020 07:00:00;9419;2781;2216;892
01.01.2020 07:00:00;01.01.2020 08:00:00;9558;2907;2258;980
01.01.2020 08:00:00;01.01.2020 09:00:00;9522;2975;2276;1103
01.01.2020 09:00:00;01.01.2020 10:00:00;9578;3037;2302;1087
01.01.2020 10:00:00;01.01.2020 11:00:00;9681;3025;2351;1195
01.01.2020 11:00:00;01.01.2020 12:00:00;9677;3012;2365;1278
01.01.2020 12:00:00;01.01.2020 13:00:00;9684;3105;2287;1179
01.01.2020 13:00:00;01.01.2020 14:00:00;9775;3101;2342;1195
01.01.2020 14:00:00;01.01.2020 15:00:00;10113;3148;2401;1169
01.01.2020 15:00:00;01.01.2020 16:00:00;10328;3281;2445;1157
01.01.2020 16:00:00;01.01.2020 17:00:00;10374;3230;2410;1213
01.01.2020 17:00:00;01.01.2020 18:00:00;10400;3113;2371;1168
01.01.2020 18:00:00;01.01.2020 19:00:00;10315;3085;2344;1136
01.01.2020 19:00:00;01.01.2020 20:00:00;10080;3093;2361;1101
01.01.2020 20:00:00;01.01.2020 21:00:00;9674;3032;2315;1107
01.01.2020 21:00:00;01.01.2020 22:00:00;9879;2951;2283;1172
01.01.2020 22:00:00;01.01.2020 23:00:00;9675;2951;2225;1145
01.01.2020 23:00:00;02.01.2020 00:00:00;9315;2878;2192;1071
02.01.2020 00:00:00;02.01.2020 01:00:00;8977;2846;2192;1113
02.01.2020 01:00:00;02.01.2020 02:00:00;8783;2854;2159;1037
02.01.2020 02:00:00;02.01.2020 03:00:00;8634;2907;2137;1059
02.01.2020 03:00:00;02.01.2020 04:00:00;8682;2960;2133;1028
02.01.2020 04:00:00;02.01.2020 05:00:00;8907;2898;2169;1054
02.01.2020 05:00:00;02.01.2020 06:00:00;9557;2904;2245;1182
02.01.2020 06:00:00;02.01.2020 07:00:00;9946;3069;2343;1105
02.01.2020 07:00:00;02.01.2020 08:00:00;10290;3284;2381;928
02.01.2020 08:00:00;02.01.2020 09:00:00;10237;3323;2425;1054
02.01.2020 09:00:00;02.01.2020 10:00:00;10202;3334;2386;1121
02.01.2020 10:00:00;02.01.2020 11:00:00;10182;3355;2416;1100
02.01.2020 11:00:00;02.01.2020 12:00:00;10218;3273;2426;1083
02.01.2020 12:00:00;02.01.2020 13:00:00;10196;3388;2395;1064
02.01.2020 13:00:00;02.01.2020 14:00:00;10186;3405;2398;1109
