Delivery Start (CET);Delivery End (CET);FI Volume (MW);NO3 Volume (MW);NO4 Volume (MW);SE1 Volume (MW)
01.01.2022 00:00:00;01.01.2022 01:00:00;10018;3487;2412;1238
01.01.2022 01:00:00;01.01.2022 02:00:00;9773;3463;2422;1286
01.01.2022 02:00:00;01.01.2022 03:00:00;9648;3388;2360;1267
01.01.2022 03:00:00;01.01.2022 04:00:00;9585;3387;2400;1222
01.01.2022 04:00:00;01.01.2022 05:00:00;9680;3376;2361;1192
01.01.2022 05:00:00;01.01.2022 06:00:00;9859;3427;2374;1242
01.01.2022 06:00:00;01.01.2022 07:00:00;9954;3439;2356;1236
01.01.2022 07:00:00;01.01.2022 08:00:00;10209;3499;2337;1242
01.01.2022 08:00:00;01.01.2022 09:00:00;10314;3480;2437;1360
01.01.2022 09:00:00;01.01.2022 10:00:00;10501;3478;2453;1329
01.01.2022 10:00:00;01.01.2022 11:00:00;10637;3556;2441;1321
01.01.2022 11:00:00;01.01.2022 12:00:00;10765;3681;2486;1292
01.01.2022 12:00:00;01.01.2022 13:00:00;10776;3681;2505;1236
01.01.2022 13:00:00;01.01.2022 14:00:00;10857;3704;2550;1239
01.01.2022 14:00:00;01.01.2022 15:00:00;11159;3768;2574;1296
01.01.2022 15:00:00;01.01.2022 16:00:00;11577;3775;2571;1365
01.01.2022 16:00:00;01.01.2022 17:00:00;11757;3763;2566;1438
01.01.2022 17:00:00;01.01.2022 18:00:00;11866;3750;2566;1485
01.01.2022 18:00:00;01.01.2022 19:00:00;11839;3721;2550;1603
01.01.2022 19:00:00;01.01.2022 20:00:00;11635;3650;2578;1601
01.01.2022 20:00:00;01.01.2022 21:00:00;11343;3548;2568;1614
01.01.2022 21:00:00;01.01.2022 22:00:00;11561;3545;2527;1481
01.01.2022 22:00:00;01.01.2022 23:00:00;11497;3315;2540;1287
01.01.2022 23:00:00;02.01.2022 00:00:00;11075;3228;2400;1173
02.01.2022 00:00:00;02.01.2022 01:00:00;10724;3360;2410;1237
02.01.2022 01:00:00;02.01.2022 02:00:00;10473;3273;2437;1193
02.01.2022 02:00:00;02.01.2022 03:00:00;10328;3222;2394;1189
02.01.2022 03:00:00;02.01.2022 04:00:00;10352;3175;2430;1247
02.01.2022 04:00:00;02.01.2022 05:00:00;10496;3185;2495;1276
02.01.2022 05:00:00;02.01.2022 06:00:00;10630;3154;2467;1216
02.01.2022 06:00:00;02.01.2022 07:00:00;10600;3130;2482;1190
02.01.2022 07:00:00;02.01.2022 08:00:00;10851;3068;2527;1119
02.01.2022 08:00:00;02.01.2022 09:00:00;10909;3196;2600;1277
02.01.2022 09:00:00;02.01.2022 10:00:00;11028;3342;2687;1243
02.01.2022 10:00:00;02.01.2022 11:00:00;11170;3376;2748;1354
02.01.2022 11:00:00;02.01.2022 12:00:00;11160;3473;2808;1457
02.01.2022 12:00:00;02.01.2022 13:00:00;11085;3611;2778;1498
02.01.2022 13:00:00;02.01.2022 14:00:00;11146;3619;2754;1688
02.01.2022 14:00:00;02.01.2022 15:00:00;11302;3593;2826;1573
