Delivery Start (CET);Delivery End (CET);FI Volume (MW);NO3 Volume (MW);NO4 Volume (MW);SE1 Volume (MW)
02.01.2022 15:00:00;02.01.2022 16:00:00;11511;3630;2854;1471
02.01.2022 16:00:00;02.01.2022 17:00:00;11593;3565;2819;1282
02.01.2022 17:00:00;02.01.2022 18:00:00;11599;3551;2777;1455
02.01.2022 18:00:00;02.01.2022 19:00:00;11546;3496;2758;1554
02.01.2022 19:00:00;02.01.2022 20:00:00;11302;3464;2702;1598
02.01.2022 20:00:00;02.01.2022 21:00:00;10932;3361;2660;1429
02.01.2022 21:00:00;02.01.2022 22:00:00;11172;3285;2672;1319
02.01.2022 22:00:00;02.01.2022 23:00:00;11011;3259;2678;1417
02.01.2022 23:00:00;03.01.2022 00:00:00;10664;3182;2645;1345
03.01.2022 00:00:00;03.01.2022 01:00:00;10299;3163;2496;1413
03.01.2022 01:00:00;03.01.2022 02:00:00;10144;3104;2446;1394
03.01.2022 02:00:00;03.01.2022 03:00:00;10064;3148;2427;1309
03.01.2022 03:00:00;03.01.2022 04:00:00;10165;3182;2446;1363
03.01.2022 04:00:00;03.01.2022 05:00:00;10484;3054;2563;1495
03.01.2022 05:00:00;03.01.2022 06:00:00;11190;2986;2595;1494
03.01.2022 06:00:00;03.01.2022 07:00:00;11528;3309;2572;1587
03.01.2022 07:00:00;03.01.2022 08:00:00;11857;3563;2662;1594
03.01.2022 08:00:00;03.01.2022 09:00:00;11875;3751;2757;1672
03.01.2022 09:00:00;03.01.2022 10:00:00;11842;3720;2796;1636
03.01.2022 10:00:00;03.01.2022 11:00:00;11907;3655;2815;1614
03.01.2022 11:00:00;03.01.2022 12:00:00;11945;3727;2820;1598
03.01.2022 12:00:00;03.01.2022 13:00:00;11909;3796;2815;1601
03.01.2022 13:00:00;03.01.2022 14:00:00;11874;3718;2833;1640
03.01.2022 14:00:00;03.01.2022 15:00:00;11979;3781;2836;1576
03.01.2022 15:00:00;03.01.2022 16:00:00;12083;3881;2860;1587
03.01.2022 16:00:00;03.01.2022 17:00:00;12026;4020;2835;1485
03.01.2022 17:00:00;03.01.2022 18:00:00;11905;4111;2832;1639
03.01.2022 18:00:00;03.01.2022 19:00:00;11878;3976;2810;1579
03.01.2022 19:00:00;03.01.2022 20:00:00;11667;3873;2770;1664
03.01.2022 20:00:00;03.01.2022 21:00:00;11264;3841;2759;1504
03.01.2022 21:00:00;03.01.2022 22:00:00;11356;3773;2730;1596
03.01.2022 22:00:00;03.01.2022 23:00:00;11145;3780;2685;1548
03.01.2022 23:00:00;04.01.2022 00:00:00;10706;3693;2637;1296
04.01.2022 00:00:00;04.01.2022 01:00:00;10387;3630;2569;1353
04.01.2022 01:00:00;04.01.2022 02:00:00;10182;3458;2565;1448
04.01.2022 02:00:00;04.01.2022 03:00:00;10107;3340;2551;1541
04.01.2022 03:00:00;04.01.2022 04:00:00;10169;3425;2533;1374
04.01.2022 04:00:00;04.01.2022 05:00:00;10444;3399;2511;1345
04.01.2022 05:00:00;04.01.2022 06:00:00;11148;3516;2551;1681
04.01.2022 06:00:00;04.01.2022 07:00:00;11469;3720;2628;1481
04.01.2022 07:00:00;04.01.2022 08:00:00;11669;3955;2732;1522
04.01.2022 08:00:00;04.01.2022 09:00:00;11617;4013;2754;1515
04.01.2022 09:00:00;04.01.2022 10:00:00;11597;4098;2819;1347
04.01.2022 10:00:00;04.01.2022 11:00:00;11631;4165;2760;1302
04.01.2022 11:00:00;04.01.2022 12:00:00;11615;4138;2786;1389
04.01.2022 12:00:00;04.01.2022 13:00:00;11505;4084;2784;1739
04.01.2022 13:00:00;04.01.2022 14:00:00;11449;4165;2837;1440
04.01.2022 14:00:00;04.01.2022 15:00:00;11625;4155;2882;1186
04.01.2022 15:00:00;04.01.2022 16:00:00;11776;4144;2917;1511
04.01.2022 16:00:00;04.01.2022 17:00:00;11863;4185;2884;1509
04.01.2022 17:00:00;04.01.2022 18:00:00;11787;4143;2799;1570
04.01.2022 18:00:00;04.01.2022 19:00:00;11809;3990;2772;1538
04.01.2022 19:00:00;04.01.2022 20:00:00;11549;4001;2762;1526
04.01.2022 20:00:00;04.01.2022 21:00:00;10967;4099;2763;1535
04.01.2022 21:00:00;04.01.2022 22:00:00;11003;3959;2698;1487
04.01.2022 22:00:00;04.01.2022 23:00:00;10776;3938;2650;1524
04.01.2022 23:00:00;05.01.2022 00:00:00;10374;3845;2612;1478
05.01.2022 00:00:00;05.01.2022 01:00:00;10005;3784;2566;1506
05.01.2022 01:00:00;05.01.2022 02:00:00;9852;3608;2526;1397
05.01.2022 02:00:00;05.01.2022 03:00:00;9752;3461;2480;1416
05.01.2022 03:00:00;05.01.2022 04:00:00;9810;3487;2495;1458
05.01.2022 04:00:00;05.01.2022 05:00:00;10134;3615;2478;1411
05.01.2022 05:00:00;05.01.2022 06:00:00;10805;3649;2440;1427
05.01.2022 06:00:00;05.01.2022 07:00:00;11112;3789;2585;1471
05.01.2022 07:00:00;05.01.2022 08:00:00;11375;4018;2724;1553
05.01.2022 08:00:00;05.01.2022 09:00:00;11367;3946;2763;1540
05.01.2022 09:00:00;05.01.2022 10:00:00;11300;3897;2818;1456
05.01.2022 10:00:00;05.01.2022 11:00:00;11372;4079;2956;1573
05.01.2022 11:00:00;05.01.2022 12:00:00;11353;4344;2905;1566
05.01.2022 12:00:00;05.01.2022 13:00:00;11167;4240;2812;1549
05.01.2022 13:00:00;05.01.2022 14:00:00;11200;4341;2891;1488
05.01.2022 14:00:00;05.01.2022 15:00:00;11309;4223;2987;1187
05.01.2022 15:00:00;05.01.2022 16:00:00;11496;4260;2982;1465
05.01.2022 16:00:00;05.01.2022 17:00:00;11520;4156;2937;1367
05.01.2022 17:00:00;05.01.2022 18:00:00;11510;4186;2801;1443
05.01.2022 18:00:00;05.01.2022 19:00:00;11613;4238;2777;1450
05.01.2022 19:00:00;05.01.2022 20:00:00;11390;4088;2817;1515
05.01.2022 20:00:00;05.01.2022 21:00:00;10873;3917;2777;1451
05.01.2022 21:00:00;05.01.2022 22:00:00;10945;3969;2771;1396
05.01.2022 22:00:00;05.01.2022 23:00:00;10725;3862;2724;1313
05.01.2022 23:00:00;06.01.2022 00:00:00;10329;3775;2703;1291
06.01.2022 00:00:00;06.01.2022 01:00:00;9956;3566;2584;1367
06.01.2022 01:00:00;06.01.2022 02:00:00;9864;3620;2512;1319
06.01.2022 02:00:00;06.01.2022 03:00:00;9853;3596;2542;1315
06.01.2022 03:00:00;06.01.2022 04:00:00;9961;3687;2527;1229
06.01.2022 04:00:00;06.01.2022 05:00:00;10188;3612;2525;1240
06.01.2022 05:00:00;06.01.2022 06:00:00;10608;3739;2570;1233
06.01.2022 06:00:00;06.01.2022 07:00:00;10817;3818;2661;1137
06.01.2022 07:00:00;06.01.2022 08:00:00;11110;4032;2736;1048
06.01.2022 08:00:00;06.01.2022 09:00:00;11197;4115;2716;1329
06.01.2022 09:00:00;06.01.2022 10:00:00;11344;4057;2823;1431
06.01.2022 10:00:00;06.01.2022 11:00:00;11526;4132;2848;1430
06.01.2022 11:00:00;06.01.2022 12:00:00;11573;4052;2870;1349
06.01.2022 12:00:00;06.01.2022 13:00:00;11477;3988;2854;1391
06.01.2022 13:00:00;06.01.2022 14:00:00;11465;3973;2812;1327
06.01.2022 14:00:00;06.01.2022 15:00:00;11607;4014;2855;1393
06.01.2022 15:00:00;06.01.2022 16:00:00;11942;4087;2906;1484
06.01.2022 16:00:00;06.01.2022 17:00:00;12014;4061;2901;1476
06.01.2022 17:00:00;06.01.2022 18:00:00;11993;4092;2838;1495
06.01.2022 18:00:00;06.01.2022 19:00:00;12010;4083;2824;1352
06.01.2022 19:00:00;06.01.2022 20:00:00;11776;4071;2773;1285
06.01.2022 20:00:00;06.01.2022 21:00:00;11402;4029;2731;1264
06.01.2022 21:00:00;06.01.2022 22:00:00;11506;3959;2706;1174
06.01.2022 22:00:00;06.01.2022 23:00:00;11357;3824;2681;1273
06.01.2022 23:00:00;07.01.2022 00:00:00;10990;3691;2626;1332
07.01.2022 00:00:00;07.01.2022 01:00:00;10658;3668;2609;1203
07.01.2022 01:00:00;07.01.2022 02:00:00;10515;3779;2580;1355
07.01.2022 02:00:00;07.01.2022 03:00:00;10510;3728;2681;1269
07.01.2022 03:00:00;07.01.2022 04:00:00;10616;3814;2682;1264
07.01.2022 04:00:00;07.01.2022 05:00:00;10890;3723;2674;1387
07.01.2022 05:00:00;07.01.2022 06:00:00;11405;3696;2687;1246
07.01.2022 06:00:00;07.01.2022 07:00:00;11703;3898;2687;1538
07.01.2022 07:00:00;07.01.2022 08:00:00;11981;4103;2809;1569
07.01.2022 08:00:00;07.01.2022 09:00:00;12013;4205;2940;1499
07.01.2022 09:00:00;07.01.2022 10:00:00;12019;4248;2950;1446
07.01.2022 10:00:00;07.01.2022 11:00:00;12048;4259;2977;1560
07.01.2022 11:00:00;07.01.2022 12:00:00;11995;4203;2942;1642
07.01.2022 12:00:00;07.01.2022 13:00:00;12016;4176;2916;1623
07.01.2022 13:00:00;07.01.2022 14:00:00;11967;4227;2939;1704
07.01.2022 14:00:00;07.01.2022 15:00:00;12095;4250;2938;1695
07.01.2022 15:00:00;07.01.2022 16:00:00;12295;4215;2910;1676
07.01.2022 16:00:00;07.01.2022 17:00:00;12321;4176;2912;1661
07.01.2022 17:00:00;07.01.2022 18:00:00;12314;4123;2844;1738
07.01.2022 18:00:00;07.01.2022 19:00:00;12304;4108;2847;1681
07.01.2022 19:00:00;07.01.2022 20:00:00;12057;4124;2793;1611
07.01.2022 20:00:00;07.01.2022 21:00:00;11656;4067;2812;1621
07.01.2022 21:00:00;07.01.2022 22:00:00;11785;3914;2777;1552
07.01.2022 22:00:00;07.01.2022 23:00:00;11600;3797;2715;1517
07.01.2022 23:00:00;08.01.2022 00:00:00;11293;3720;2661;1476
08.01.2022 00:00:00;08.01.2022 01:00:00;11036;3628;2577;1420
08.01.2022 01:00:00;08.01.2022 02:00:00;10865;3555;2608;1307
08.01.2022 02:00:00;08.01.2022 03:00:00;10813;3540;2556;1316
08.01.2022 03:00:00;08.01.2022 04:00:00;10891;3588;2479;1483
08.01.2022 04:00:00;08.01.2022 05:00:00;11045;3649;2533;1551
08.01.2022 05:00:00;08.01.2022 06:00:00;11291;3653;2573;1491
08.01.2022 06:00:00;08.01.2022 07:00:00;11435;3609;2607;1479
08.01.2022 07:00:00;08.01.2022 08:00:00;11711;3643;2649;1638
08.01.2022 08:00:00;08.01.2022 09:00:00;11888;3764;2616;1822
08.01.2022 09:00:00;08.01.2022 10:00:00;12010;3860;2656;1684
08.01.2022 10:00:00;08.01.2022 11:00:00;12108;3915;2733;1643
08.01.2022 11:00:00;08.01.2022 12:00:00;12067;3999;2764;1707
08.01.2022 12:00:00;08.01.2022 13:00:00;12059;4112;2749;1818
08.01.2022 13:00:00;08.01.2022 14:00:00;12007;4017;2755;1786
08.01.2022 14:00:00;08.01.2022 15:00:00;12167;3983;2759;1759
08.01.2022 15:00:00;08.01.2022 16:00:00;12543;4002;2767;1743
08.01.2022 16:00:00;08.01.2022 17:00:00;12645;4033;2752;1685
08.01.2022 17:00:00;08.01.2022 18:00:00;12713;4080;2726;1711
08.01.2022 18:00:00;08.01.2022 19:00:00;12569;4037;2729;1837
08.01.2022 19:00:00;08.01.2022 20:00:00;12220;3971;2692;1868
08.01.2022 20:00:00;08.01.2022 21:00:00;11682;3824;2668;1769
08.01.2022 21:00:00;08.01.2022 22:00:00;11825;3785;2612;1618
08.01.2022 22:00:00;08.01.2022 23:00:00;11642;3829;2598;1582
08.01.2022 23:00:00;09.01.2022 00:00:00;11239;3805;2545;1612
09.01.2022 00:00:00;09.01.2022 01:00:00;10888;3720;2494;1520
09.01.2022 01:00:00;09.01.2022 02:00:00;10699;3692;2469;1660
09.01.2022 02:00:00;09.01.2022 03:00:00;10616;3594;2456;1653
09.01.2022 03:00:00;09.01.2022 04:00:00;10590;3570;2463;1617
09.01.2022 04:00:00;09.01.2022 05:00:00;10651;3621;2472;1608
09.01.2022 05:00:00;09.01.2022 06:00:00;10810;3693;2456;1592
09.01.2022 06:00:00;09.01.2022 07:00:00;10862;3774;2462;1545
09.01.2022 07:00:00;09.01.2022 08:00:00;11143;3812;2526;1605
09.01.2022 08:00:00;09.01.2022 09:00:00;11243;3811;2562;1632
09.01.2022 09:00:00;09.01.2022 10:00:00;11430;3871;2569;1596
09.01.2022 10:00:00;09.01.2022 11:00:00;11606;3864;2587;1719
09.01.2022 11:00:00;09.01.2022 12:00:00;11647;3841;2637;1739
09.01.2022 12:00:00;09.01.2022 13:00:00;11605;3826;2642;1623
09.01.2022 13:00:00;09.01.2022 14:00:00;11582;3851;2684;1691
09.01.2022 14:00:00;09.01.2022 15:00:00;11690;3901;2744;1714
09.01.2022 15:00:00;09.01.2022 16:00:00;11968;4018;2787;1766
09.01.2022 16:00:00;09.01.2022 17:00:00;12031;4055;2794;1809
09.01.2022 17:00:00;09.01.2022 18:00:00;12070;4034;2794;1808
09.01.2022 18:00:00;09.01.2022 19:00:00;12076;3999;2815;1789
09.01.2022 19:00:00;09.01.2022 20:00:00;11926;3959;2799;1749
09.01.2022 20:00:00;09.01.2022 21:00:00;11533;3984;2806;1683
09.01.2022 21:00:00;09.01.2022 22:00:00;11735;3929;2739;1656
09.01.2022 22:00:00;09.01.2022 23:00:00;11647;3818;2731;1568
09.01.2022 23:00:00;10.01.2022 00:00:00;11383;3772;2688;1535
10.01.2022 00:00:00;10.01.2022 01:00:00;11135;3667;2647;1512
10.01.2022 01:00:00;10.01.2022 02:00:00;11019;3592;2636;1474
10.01.2022 02:00:00;10.01.2022 03:00:00;10974;3660;2617;1330
10.01.2022 03:00:00;10.01.2022 04:00:00;11156;3722;2576;1356
10.01.2022 04:00:00;10.01.2022 05:00:00;11598;3757;2599;1480
10.01.2022 05:00:00;10.01.2022 06:00:00;12375;3722;2638;1553
10.01.2022 06:00:00;10.01.2022 07:00:00;12895;3861;2755;1732
10.01.2022 07:00:00;10.01.2022 08:00:00;13262;4080;2917;1778
10.01.2022 08:00:00;10.01.2022 09:00:00;13172;4239;2973;1751
10.01.2022 09:00:00;10.01.2022 10:00:00;13241;4358;2976;1528
10.01.2022 10:00:00;10.01.2022 11:00:00;13247;4221;2939;1307
10.01.2022 11:00:00;10.01.2022 12:00:00;13185;4012;2847;1555
10.01.2022 12:00:00;10.01.2022 13:00:00;13025;3963;2823;1832
10.01.2022 13:00:00;10.01.2022 14:00:00;12979;3960;2903;1819
10.01.2022 14:00:00;10.01.2022 15:00:00;13094;3979;2951;1727
10.01.2022 15:00:00;10.01.2022 16:00:00;13318;3977;2911;1565
10.01.2022 16:00:00;10.01.2022 17:00:00;13415;4087;2821;1581
10.01.2022 17:00:00;10.01.2022 18:00:00;13363;3979;2887;1669
10.01.2022 18:00:00;10.01.2022 19:00:00;13379;4021;2891;1747
10.01.2022 19:00:00;10.01.2022 20:00:00;13136;4032;2819;1930
10.01.2022 20:00:00;10.01.2022 21:00:00;12784;3915;2778;1932
10.01.2022 21:00:00;10.01.2022 22:00:00;12917;3786;2780;1679
10.01.2022 22:00:00;10.01.2022 23:00:00;12763;3689;2776;1506
10.01.2022 23:00:00;11.01.2022 00:00:00;12382;3545;2659;1528
11.01.2022 00:00:00;11.01.2022 01:00:00;12090;3609;2630;1672
11.01.2022 01:00:00;11.01.2022 02:00:00;11937;3665;2566;1729
11.01.2022 02:00:00;11.01.2022 03:00:00;11926;3602;2509;1628
11.01.2022 03:00:00;11.01.2022 04:00:00;12032;3278;2501;1605
11.01.2022 04:00:00;11.01.2022 05:00:00;12370;3518;2526;1645
11.01.2022 05:00:00;11.01.2022 06:00:00;13247;3515;2606;1748
11.01.2022 06:00:00;11.01.2022 07:00:00;13597;3627;2713;1817
11.01.2022 07:00:00;11.01.2022 08:00:00;13767;3810;2795;1588
11.01.2022 08:00:00;11.01.2022 09:00:00;13594;3885;2798;1375
11.01.2022 09:00:00;11.01.2022 10:00:00;13467;3971;2829;1490
11.01.2022 10:00:00;11.01.2022 11:00:00;13471;3882;2814;1519
11.01.2022 11:00:00;11.01.2022 12:00:00;13313;3813;2783;1389
11.01.2022 12:00:00;11.01.2022 13:00:00;13148;3699;2727;1426
11.01.2022 13:00:00;11.01.2022 14:00:00;12992;3784;2732;1503
11.01.2022 14:00:00;11.01.2022 15:00:00;12941;3800;3024;1523
11.01.2022 15:00:00;11.01.2022 16:00:00;13082;3777;3354;1486
11.01.2022 16:00:00;11.01.2022 17:00:00;13090;3903;3315;1467
11.01.2022 17:00:00;11.01.2022 18:00:00;12981;3969;3292;1434
11.01.2022 18:00:00;11.01.2022 19:00:00;12889;3827;3309;1402
11.01.2022 19:00:00;11.01.2022 20:00:00;12533;3684;3330;1452
11.01.2022 20:00:00;11.01.2022 21:00:00;11980;3624;3249;1452
11.01.2022 21:00:00;11.01.2022 22:00:00;11963;3658;3233;1441
11.01.2022 22:00:00;11.01.2022 23:00:00;11657;3592;3226;1450
11.01.2022 23:00:00;12.01.2022 00:00:00;11157;3571;3116;1346
12.01.2022 00:00:00;12.01.2022 01:00:00;10847;3461;2461;1299
12.01.2022 01:00:00;12.01.2022 02:00:00;10609;3305;2402;1329
12.01.2022 02:00:00;12.01.2022 03:00:00;10541;3203;2421;1293
12.01.2022 03:00:00;12.01.2022 04:00:00;10533;3232;2490;1282
12.01.2022 04:00:00;12.01.2022 05:00:00;10763;3083;2382;1343
12.01.2022 05:00:00;12.01.2022 06:00:00;11490;3173;2406;1369
12.01.2022 06:00:00;12.01.2022 07:00:00;11833;3360;2553;1325
12.01.2022 07:00:00;12.01.2022 08:00:00;12039;3649;2616;1451
12.01.2022 08:00:00;12.01.2022 09:00:00;11877;3728;2693;1635
12.01.2022 09:00:00;12.01.2022 10:00:00;11792;3550;2702;1634
12.01.2022 10:00:00;12.01.2022 11:00:00;11766;3609;2697;1575
12.01.2022 11:00:00;12.01.2022 12:00:00;11802;3675;2720;1609
12.01.2022 12:00:00;12.01.2022 13:00:00;12259;3649;2705;1376
12.01.2022 13:00:00;12.01.2022 14:00:00;12351;3561;2787;1381
12.01.2022 14:00:00;12.01.2022 15:00:00;11590;3478;2934;1406
12.01.2022 15:00:00;12.01.2022 16:00:00;11743;3463;2792;1415
12.01.2022 16:00:00;12.01.2022 17:00:00;11784;3593;2654;1444
12.01.2022 17:00:00;12.01.2022 18:00:00;11746;3729;2666;1347
12.01.2022 18:00:00;12.01.2022 19:00:00;11714;3553;2615;1371
12.01.2022 19:00:00;12.01.2022 20:00:00;11453;3369;2672;1399
12.01.2022 20:00:00;12.01.2022 21:00:00;10840;3454;2578;1409
12.01.2022 21:00:00;12.01.2022 22:00:00;10848;3452;2474;1416
12.01.2022 22:00:00;12.01.2022 23:00:00;10608;3317;2411;1325
12.01.2022 23:00:00;13.01.2022 00:00:00;10138;3167;2445;1214
13.01.2022 00:00:00;13.01.2022 01:00:00;9806;3175;2398;1016
13.01.2022 01:00:00;13.01.2022 02:00:00;9560;3180;2379;1029
13.01.2022 02:00:00;13.01.2022 03:00:00;9522;3051;2319;1115
13.01.2022 03:00:00;13.01.2022 04:00:00;9546;2995;2318;1229
13.01.2022 04:00:00;13.01.2022 05:00:00;9805;3043;2453;1221
13.01.2022 05:00:00;13.01.2022 06:00:00;10594;3112;2411;1316
13.01.2022 06:00:00;13.01.2022 07:00:00;10997;3245;2541;1410
13.01.2022 07:00:00;13.01.2022 08:00:00;11226;3414;2617;1328
13.01.2022 08:00:00;13.01.2022 09:00:00;11096;3667;2658;1363
13.01.2022 09:00:00;13.01.2022 10:00:00;11025;3618;2686;1466
13.01.2022 10:00:00;13.01.2022 11:00:00;11059;3482;2674;1489
13.01.2022 11:00:00;13.01.2022 12:00:00;11008;3521;2652;1391
13.01.2022 12:00:00;13.01.2022 13:00:00;10884;3521;2659;1356
13.01.2022 13:00:00;13.01.2022 14:00:00;10855;3436;2641;1448
13.01.2022 14:00:00;13.01.2022 15:00:00;10892;3489;2639;1397
13.01.2022 15:00:00;13.01.2022 16:00:00;11079;3563;2656;1323
13.01.2022 16:00:00;13.01.2022 17:00:00;11165;3663;2671;1438
13.01.2022 17:00:00;13.01.2022 18:00:00;11156;3679;2691;1524
13.01.2022 18:00:00;13.01.2022 19:00:00;11133;3638;2620;1452
13.01.2022 19:00:00;13.01.2022 20:00:00;10836;3557;2604;1381
13.01.2022 20:00:00;13.01.2022 21:00:00;10346;3456;2547;1409
13.01.2022 21:00:00;13.01.2022 22:00:00;10409;3463;2537;1387
13.01.2022 22:00:00;13.01.2022 23:00:00;10231;3420;2486;1357
13.01.2022 23:00:00;14.01.2022 00:00:00;9748;3413;2479;1317
14.01.2022 00:00:00;14.01.2022 01:00:00;9423;3492;2514;1333
14.01.2022 01:00:00;14.01.2022 02:00:00;9258;3372;2440;1300
14.01.2022 02:00:00;14.01.2022 03:00:00;9234;3411;2261;1212
14.01.2022 03:00:00;14.01.2022 04:00:00;9404;3395;2363;1261
14.01.2022 04:00:00;14.01.2022 05:00:00;9754;3454;2334;1274
14.01.2022 05:00:00;14.01.2022 06:00:00;10518;3413;2303;1355
14.01.2022 06:00:00;14.01.2022 07:00:00;11082;3644;2441;1378
14.01.2022 07:00:00;14.01.2022 08:00:00;11440;3823;2712;1429
14.01.2022 08:00:00;14.01.2022 09:00:00;11410;3838;2686;1521
14.01.2022 09:00:00;14.01.2022 10:00:00;11269;3883;2654;1513
14.01.2022 10:00:00;14.01.2022 11:00:00;11259;3867;2642;1469
14.01.2022 11:00:00;14.01.2022 12:00:00;11212;3832;2645;1419
14.01.2022 12:00:00;14.01.2022 13:00:00;11123;3811;2556;1379
14.01.2022 13:00:00;14.01.2022 14:00:00;11040;3899;2591;1381
14.01.2022 14:00:00;14.01.2022 15:00:00;11079;3914;2666;1499
14.01.2022 15:00:00;14.01.2022 16:00:00;11366;3905;2558;1481
14.01.2022 16:00:00;14.01.2022 17:00:00;11472;3906;2586;1422
14.01.2022 17:00:00;14.01.2022 18:00:00;11441;3898;2555;1377
14.01.2022 18:00:00;14.01.2022 19:00:00;11429;3859;2562;1325
14.01.2022 19:00:00;14.01.2022 20:00:00;11120;3771;2560;1292
14.01.2022 20:00:00;14.01.2022 21:00:00;10575;3743;2505;1266
14.01.2022 21:00:00;14.01.2022 22:00:00;10653;3666;2434;1269
14.01.2022 22:00:00;14.01.2022 23:00:00;10397;3678;2401;1249
14.01.2022 23:00:00;15.01.2022 00:00:00;9973;3566;2370;1253
15.01.2022 00:00:00;15.01.2022 01:00:00;9595;3383;2353;1134
15.01.2022 01:00:00;15.01.2022 02:00:00;9390;3190;2343;1120
15.01.2022 02:00:00;15.01.2022 03:00:00;9334;3192;2312;1185
15.01.2022 03:00:00;15.01.2022 04:00:00;9308;3224;2307;1303
15.01.2022 04:00:00;15.01.2022 05:00:00;9442;3311;2320;1299
15.01.2022 05:00:00;15.01.2022 06:00:00;9737;3296;2301;1390
15.01.2022 06:00:00;15.01.2022 07:00:00;9854;3295;2353;1245
15.01.2022 07:00:00;15.01.2022 08:00:00;10159;3348;2360;1278
15.01.2022 08:00:00;15.01.2022 09:00:00;10220;3603;2425;1295
15.01.2022 09:00:00;15.01.2022 10:00:00;10340;3761;2539;1278
15.01.2022 10:00:00;15.01.2022 11:00:00;10375;3745;2611;1164
15.01.2022 11:00:00;15.01.2022 12:00:00;10386;3735;2600;1464
15.01.2022 12:00:00;15.01.2022 13:00:00;10312;3785;2640;1278
15.01.2022 13:00:00;15.01.2022 14:00:00;10314;3578;2644;1251
15.01.2022 14:00:00;15.01.2022 15:00:00;10476;3674;2605;1316
15.01.2022 15:00:00;15.01.2022 16:00:00;10903;3624;2501;1311
15.01.2022 16:00:00;15.01.2022 17:00:00;11263;3641;2474;1475
15.01.2022 17:00:00;15.01.2022 18:00:00;11421;3674;2501;1353
15.01.2022 18:00:00;15.01.2022 19:00:00;11343;3602;2563;1176
15.01.2022 19:00:00;15.01.2022 20:00:00;10968;3524;2616;1165
15.01.2022 20:00:00;15.01.2022 21:00:00;10477;3419;2604;1335
15.01.2022 21:00:00;15.01.2022 22:00:00;10561;3437;2548;1396
15.01.2022 22:00:00;15.01.2022 23:00:00;10443;3386;2532;1429
15.01.2022 23:00:00;16.01.2022 00:00:00;10137;3324;2427;1395
16.01.2022 00:00:00;16.01.2022 01:00:00;9849;3242;2402;1332
16.01.2022 01:00:00;16.01.2022 02:00:00;9604;3245;2447;1376
16.01.2022 02:00:00;16.01.2022 03:00:00;9489;3193;2290;1401
16.01.2022 03:00:00;16.01.2022 04:00:00;9417;3114;2327;1391
16.01.2022 04:00:00;16.01.2022 05:00:00;9478;3122;2329;1319
