Delivery Start (CET);Delivery End (CET);Price (NOK)
01.01.2023 00:00:00;01.01.2023 01:00:00;246.64
01.01.2023 01:00:00;01.01.2023 02:00:00;228.33
01.01.2023 02:00:00;01.01.2023 03:00:00;168.88
01.01.2023 03:00:00;01.01.2023 04:00:00;120.58
01.01.2023 04:00:00;01.01.2023 05:00:00;48.93
01.01.2023 05:00:00;01.01.2023 06:00:00;47.03
01.01.2023 06:00:00;01.01.2023 07:00:00;43.25
01.01.2023 07:00:00;01.01.2023 08:00:00;73.02
01.01.2023 08:00:00;01.01.2023 09:00:00;134.89
01.01.2023 09:00:00;01.01.2023 10:00:00;220.33
01.01.2023 10:00:00;01.01.2023 11:00:00;273.78
01.01.2023 11:00:00;01.01.2023 12:00:00;280.2
01.01.2023 12:00:00;01.01.2023 13:00:00;283.68
01.01.2023 13:00:00;01.01.2023 14:00:00;283.36
01.01.2023 14:00:00;01.01.2023 15:00:00;350.38
01.01.2023 15:00:00;01.01.2023 16:00:00;419.62
01.01.2023 16:00:00;01.01.2023 17:00:00;680.99
01.01.2023 17:00:00;01.01.2023 18:00:00;738.33
01.01.2023 18:00:00;01.01.2023 19:00:00;754.12
01.01.2023 19:00:00;01.01.2023 20:00:00;736.54
01.01.2023 20:00:00;01.01.2023 21:00:00;687.72
01.01.2023 21:00:00;01.01.2023 22:00:00;659.94
01.01.2023 22:00:00;01.01.2023 23:00:00;662.47
01.01.2023 23:00:00;02.01.2023 00:00:00;592.18
02.01.2023 00:00:00;02.01.2023 01:00:00;762.85
02.01.2023 01:00:00;02.01.2023 02:00:00;741.07
02.01.2023 02:00:00;02.01.2023 03:00:00;741.81
02.01.2023 03:00:00;02.01.2023 04:00:00;714.66
02.01.2023 04:00:00;02.01.2023 05:00:00;740.12
02.01.2023 05:00:00;02.01.2023 06:00:00;872.91
02.01.2023 06:00:00;02.01.2023 07:00:00;1156.27
02.01.2023 07:00:00;02.01.2023 08:00:00;1409.43
02.01.2023 08:00:00;02.01.2023 09:00:00;1469.83
02.01.2023 09:00:00;02.01.2023 10:00:00;1490.77
02.01.2023 10:00:00;02.01.2023 11:00:00;1501.5
02.01.2023 11:00:00;02.01.2023 12:00:00;1492.77
02.01.2023 12:00:00;02.01.2023 13:00:00;1525.07
02.01.2023 13:00:00;02.01.2023 14:00:00;1534.54
02.01.2023 14:00:00;02.01.2023 15:00:00;1575.57
02.01.2023 15:00:00;02.01.2023 16:00:00;1603.98
02.01.2023 16:00:00;02.01.2023 17:00:00;1692.16
02.01.2023 17:00:00;02.01.2023 18:00:00;1766.97
02.01.2023 18:00:00;02.01.2023 19:00:00;1817.37
02.01.2023 19:00:00;02.01.2023 20:00:00;1723.62
