Delivery Start (CET);Delivery End (CET);Price (NOK)
03.01.2022 20:00:00;03.01.2022 21:00:00;1076.37
03.01.2022 21:00:00;03.01.2022 22:00:00;914.03
03.01.2022 22:00:00;03.01.2022 23:00:00;799.18
03.01.2022 23:00:00;04.01.2022 00:00:00;520.09
04.01.2022 00:00:00;04.01.2022 01:00:00;499.77
04.01.2022 01:00:00;04.01.2022 02:00:00;514.89
04.01.2022 02:00:00;04.01.2022 03:00:00;493.27
04.01.2022 03:00:00;04.01.2022 04:00:00;472.25
04.01.2022 04:00:00;04.01.2022 05:00:00;489.27
04.01.2022 05:00:00;04.01.2022 06:00:00;752.76
04.01.2022 06:00:00;04.01.2022 07:00:00;1103.63
04.01.2022 07:00:00;04.01.2022 08:00:00;1393.44
04.01.2022 08:00:00;04.01.2022 09:00:00;1466.3
04.01.2022 09:00:00;04.01.2022 10:00:00;1467.7
04.01.2022 10:00:00;04.01.2022 11:00:00;1468.6
04.01.2022 11:00:00;04.01.2022 12:00:00;1466.2
04.01.2022 12:00:00;04.01.2022 13:00:00;1461.6
04.01.2022 13:00:00;04.01.2022 14:00:00;1427.27
04.01.2022 14:00:00;04.01.2022 15:00:00;1435.48
04.01.2022 15:00:00;04.01.2022 16:00:00;1463.9
04.01.2022 16:00:00;04.01.2022 17:00:00;1478.21
04.01.2022 17:00:00;04.01.2022 18:00:00;1510.93
04.01.2022 18:00:00;04.01.2022 19:00:00;1500.52
04.01.2022 19:00:00;04.01.2022 20:00:00;1462.2
04.01.2022 20:00:00;04.01.2022 21:00:00;1397.75
04.01.2022 21:00:00;04.01.2022 22:00:00;1300.27
04.01.2022 22:00:00;04.01.2022 23:00:00;1073.6
04.01.2022 23:00:00;05.01.2022 00:00:00;760.87
05.01.2022 00:00:00;05.01.2022 01:00:00;1186.91
05.01.2022 01:00:00;05.01.2022 02:00:00;941.19
05.01.2022 02:00:00;05.01.2022 03:00:00;859.19
05.01.2022 03:00:00;05.01.2022 04:00:00;784.7
05.01.2022 04:00:00;05.01.2022 05:00:00;824.15
05.01.2022 05:00:00;05.01.2022 06:00:00;940.09
05.01.2022 06:00:00;05.01.2022 07:00:00;1322.48
05.01.2022 07:00:00;05.01.2022 08:00:00;1346.21
05.01.2022 08:00:00;05.01.2022 09:00:00;1356.92
05.01.2022 09:00:00;05.01.2022 10:00:00;1352.01
05.01.2022 10:00:00;05.01.2022 11:00:00;1345.81
05.01.2022 11:00:00;05.01.2022 12:00:00;1333.99
05.01.2022 12:00:00;05.01.2022 13:00:00;1306.66
05.01.2022 13:00:00;05.01.2022 14:00:00;1299.05
05.01.2022 14:00:00;05.01.2022 15:00:00;1293.74
05.01.2022 15:00:00;05.01.2022 16:00:00;1295.04
05.01.2022 16:00:00;05.01.2022 17:00:00;1352.22
05.01.2022 17:00:00;05.01.2022 18:00:00;1403.08
05.01.2022 18:00:00;05.01.2022 19:00:00;1349.31
05.01.2022 19:00:00;05.01.2022 20:00:00;1292.64
05.01.2022 20:00:00;05.01.2022 21:00:00;1217.44
05.01.2022 21:00:00;05.01.2022 22:00:00;1200.82
05.01.2022 22:00:00;05.01.2022 23:00:00;1077.67
05.01.2022 23:00:00;06.01.2022 00:00:00;937.19
06.01.2022 00:00:00;06.01.2022 01:00:00;1063.01
06.01.2022 01:00:00;06.01.2022 02:00:00;1035.53
06.01.2022 02:00:00;06.01.2022 03:00:00;1047.12
06.01.2022 03:00:00;06.01.2022 04:00:00;1141.56
06.01.2022 04:00:00;06.01.2022 05:00:00;1212.31
06.01.2022 05:00:00;06.01.2022 06:00:00;1322.04
06.01.2022 06:00:00;06.01.2022 07:00:00;1398.29
06.01.2022 07:00:00;06.01.2022 08:00:00;1460.55
06.01.2022 08:00:00;06.01.2022 09:00:00;1528.21
06.01.2022 09:00:00;06.01.2022 10:00:00;1577.27
06.01.2022 10:00:00;06.01.2022 11:00:00;1572.48
06.01.2022 11:00:00;06.01.2022 12:00:00;1607.65
06.01.2022 12:00:00;06.01.2022 13:00:00;1591.27
06.01.2022 13:00:00;06.01.2022 14:00:00;1572.98
06.01.2022 14:00:00;06.01.2022 15:00:00;1579.87
06.01.2022 15:00:00;06.01.2022 16:00:00;1584.87
06.01.2022 16:00:00;06.01.2022 17:00:00;1609.85
06.01.2022 17:00:00;06.01.2022 18:00:00;1627.34
06.01.2022 18:00:00;06.01.2022 19:00:00;1627.64
06.01.2022 19:00:00;06.01.2022 20:00:00;1574.68
06.01.2022 20:00:00;06.01.2022 21:00:00;1545.49
06.01.2022 21:00:00;06.01.2022 22:00:00;1551.59
06.01.2022 22:00:00;06.01.2022 23:00:00;1499.72
06.01.2022 23:00:00;07.01.2022 00:00:00;1303.05
07.01.2022 00:00:00;07.01.2022 01:00:00;1159.65
07.01.2022 01:00:00;07.01.2022 02:00:00;1055.75
07.01.2022 02:00:00;07.01.2022 03:00:00;967.12
07.01.2022 03:00:00;07.01.2022 04:00:00;963.6
07.01.2022 04:00:00;07.01.2022 05:00:00;972.44
07.01.2022 05:00:00;07.01.2022 06:00:00;1058.46
07.01.2022 06:00:00;07.01.2022 07:00:00;1344.25
07.01.2022 07:00:00;07.01.2022 08:00:00;1453.09
07.01.2022 08:00:00;07.01.2022 09:00:00;1531.87
07.01.2022 09:00:00;07.01.2022 10:00:00;1534.38
07.01.2022 10:00:00;07.01.2022 11:00:00;1537.9
07.01.2022 11:00:00;07.01.2022 12:00:00;1566.14
07.01.2022 12:00:00;07.01.2022 13:00:00;1565.73
07.01.2022 13:00:00;07.01.2022 14:00:00;1572.47
07.01.2022 14:00:00;07.01.2022 15:00:00;1589.75
07.01.2022 15:00:00;07.01.2022 16:00:00;1619.9
07.01.2022 16:00:00;07.01.2022 17:00:00;1665.22
07.01.2022 17:00:00;07.01.2022 18:00:00;1737.07
07.01.2022 18:00:00;07.01.2022 19:00:00;1708.53
07.01.2022 19:00:00;07.01.2022 20:00:00;1616.38
07.01.2022 20:00:00;07.01.2022 21:00:00;1565.84
07.01.2022 21:00:00;07.01.2022 22:00:00;1535.79
07.01.2022 22:00:00;07.01.2022 23:00:00;1474.79
07.01.2022 23:00:00;08.01.2022 00:00:00;1381.84
08.01.2022 00:00:00;08.01.2022 01:00:00;1403.14
08.01.2022 01:00:00;08.01.2022 02:00:00;1349.9
08.01.2022 02:00:00;08.01.2022 03:00:00;1322.83
08.01.2022 03:00:00;08.01.2022 04:00:00;1325.14
08.01.2022 04:00:00;08.01.2022 05:00:00;1350.1
08.01.2022 05:00:00;08.01.2022 06:00:00;1346.79
08.01.2022 06:00:00;08.01.2022 07:00:00;1354.11
08.01.2022 07:00:00;08.01.2022 08:00:00;1372.16
08.01.2022 08:00:00;08.01.2022 09:00:00;1407.05
08.01.2022 09:00:00;08.01.2022 10:00:00;1450.46
08.01.2022 10:00:00;08.01.2022 11:00:00;1472.92
08.01.2022 11:00:00;08.01.2022 12:00:00;1473.02
08.01.2022 12:00:00;08.01.2022 13:00:00;1472.92
08.01.2022 13:00:00;08.01.2022 14:00:00;1453.97
08.01.2022 14:00:00;08.01.2022 15:00:00;1457.28
08.01.2022 15:00:00;08.01.2022 16:00:00;1483.45
08.01.2022 16:00:00;08.01.2022 17:00:00;1501.69
08.01.2022 17:00:00;08.01.2022 18:00:00;1494.28
08.01.2022 18:00:00;08.01.2022 19:00:00;1458.08
08.01.2022 19:00:00;08.01.2022 20:00:00;1356.52
08.01.2022 20:00:00;08.01.2022 21:00:00;1194.3
08.01.2022 21:00:00;08.01.2022 22:00:00;1198.01
08.01.2022 22:00:00;08.01.2022 23:00:00;1124.62
08.01.2022 23:00:00;09.01.2022 00:00:00;1030.27
09.01.2022 00:00:00;09.01.2022 01:00:00;1016.22
09.01.2022 01:00:00;09.01.2022 02:00:00;926.19
09.01.2022 02:00:00;09.01.2022 03:00:00;879.32
09.01.2022 03:00:00;09.01.2022 04:00:00;812.02
09.01.2022 04:00:00;09.01.2022 05:00:00;648.97
09.01.2022 05:00:00;09.01.2022 06:00:00;657.48
09.01.2022 06:00:00;09.01.2022 07:00:00;799
09.01.2022 07:00:00;09.01.2022 08:00:00;869.2
09.01.2022 08:00:00;09.01.2022 09:00:00;997.09
09.01.2022 09:00:00;09.01.2022 10:00:00;1246.97
09.01.2022 10:00:00;09.01.2022 11:00:00;1311.26
09.01.2022 11:00:00;09.01.2022 12:00:00;1404.2
09.01.2022 12:00:00;09.01.2022 13:00:00;1449.47
09.01.2022 13:00:00;09.01.2022 14:00:00;1457.58
09.01.2022 14:00:00;09.01.2022 15:00:00;1470.7
09.01.2022 15:00:00;09.01.2022 16:00:00;1494.44
09.01.2022 16:00:00;09.01.2022 17:00:00;1548.22
09.01.2022 17:00:00;09.01.2022 18:00:00;1602.7
09.01.2022 18:00:00;09.01.2022 19:00:00;1659.89
09.01.2022 19:00:00;09.01.2022 20:00:00;1589.18
09.01.2022 20:00:00;09.01.2022 21:00:00;1501.75
09.01.2022 21:00:00;09.01.2022 22:00:00;1478.41
09.01.2022 22:00:00;09.01.2022 23:00:00;1449.27
09.01.2022 23:00:00;10.01.2022 00:00:00;1406.91
10.01.2022 00:00:00;10.01.2022 01:00:00;1406.31
10.01.2022 01:00:00;10.01.2022 02:00:00;1342.91
10.01.2022 02:00:00;10.01.2022 03:00:00;1325.89
10.01.2022 03:00:00;10.01.2022 04:00:00;1345.01
10.01.2022 04:00:00;10.01.2022 05:00:00;1390.18
10.01.2022 05:00:00;10.01.2022 06:00:00;1496.44
10.01.2022 06:00:00;10.01.2022 07:00:00;1587.28
10.01.2022 07:00:00;10.01.2022 08:00:00;2002.6
10.01.2022 08:00:00;10.01.2022 09:00:00;2603.3
10.01.2022 09:00:00;10.01.2022 10:00:00;2654.88
10.01.2022 10:00:00;10.01.2022 11:00:00;2503.05
10.01.2022 11:00:00;10.01.2022 12:00:00;2093.94
10.01.2022 12:00:00;10.01.2022 13:00:00;2006.71
10.01.2022 13:00:00;10.01.2022 14:00:00;1954.93
10.01.2022 14:00:00;10.01.2022 15:00:00;1702.85
10.01.2022 15:00:00;10.01.2022 16:00:00;1712.16
10.01.2022 16:00:00;10.01.2022 17:00:00;1554.43
10.01.2022 17:00:00;10.01.2022 18:00:00;1541.51
10.01.2022 18:00:00;10.01.2022 19:00:00;1529.29
10.01.2022 19:00:00;10.01.2022 20:00:00;1479.12
10.01.2022 20:00:00;10.01.2022 21:00:00;1459.29
10.01.2022 21:00:00;10.01.2022 22:00:00;1454.58
10.01.2022 22:00:00;10.01.2022 23:00:00;1420.53
10.01.2022 23:00:00;11.01.2022 00:00:00;1330.59
11.01.2022 00:00:00;11.01.2022 01:00:00;1312.47
11.01.2022 01:00:00;11.01.2022 02:00:00;1279.55
11.01.2022 02:00:00;11.01.2022 03:00:00;1227.13
11.01.2022 03:00:00;11.01.2022 04:00:00;1199.81
11.01.2022 04:00:00;11.01.2022 05:00:00;1213.72
11.01.2022 05:00:00;11.01.2022 06:00:00;1288.86
11.01.2022 06:00:00;11.01.2022 07:00:00;1328.78
11.01.2022 07:00:00;11.01.2022 08:00:00;1390.01
11.01.2022 08:00:00;11.01.2022 09:00:00;1411.72
11.01.2022 09:00:00;11.01.2022 10:00:00;1388.31
11.01.2022 10:00:00;11.01.2022 11:00:00;1384.61
11.01.2022 11:00:00;11.01.2022 12:00:00;1388.61
11.01.2022 12:00:00;11.01.2022 13:00:00;1378.6
11.01.2022 13:00:00;11.01.2022 14:00:00;1370.5
11.01.2022 14:00:00;11.01.2022 15:00:00;1373.9
11.01.2022 15:00:00;11.01.2022 16:00:00;1381.3
11.01.2022 16:00:00;11.01.2022 17:00:00;1394.51
11.01.2022 17:00:00;11.01.2022 18:00:00;1405.02
11.01.2022 18:00:00;11.01.2022 19:00:00;1390.41
11.01.2022 19:00:00;11.01.2022 20:00:00;1372.5
11.01.2022 20:00:00;11.01.2022 21:00:00;1343.38
11.01.2022 21:00:00;11.01.2022 22:00:00;1337.18
11.01.2022 22:00:00;11.01.2022 23:00:00;1313.97
11.01.2022 23:00:00;12.01.2022 00:00:00;1212.82
12.01.2022 00:00:00;12.01.2022 01:00:00;1073.19
12.01.2022 01:00:00;12.01.2022 02:00:00;1049.38
12.01.2022 02:00:00;12.01.2022 03:00:00;1015.88
12.01.2022 03:00:00;12.01.2022 04:00:00;1000.28
12.01.2022 04:00:00;12.01.2022 05:00:00;1014.98
12.01.2022 05:00:00;12.01.2022 06:00:00;1070.19
12.01.2022 06:00:00;12.01.2022 07:00:00;1167.99
12.01.2022 07:00:00;12.01.2022 08:00:00;1296.3
12.01.2022 08:00:00;12.01.2022 09:00:00;1304.6
12.01.2022 09:00:00;12.01.2022 10:00:00;1271.4
12.01.2022 10:00:00;12.01.2022 11:00:00;1245.2
12.01.2022 11:00:00;12.01.2022 12:00:00;1201.9
12.01.2022 12:00:00;12.01.2022 13:00:00;1164.49
12.01.2022 13:00:00;12.01.2022 14:00:00;1100.39
12.01.2022 14:00:00;12.01.2022 15:00:00;1054.38
12.01.2022 15:00:00;12.01.2022 16:00:00;1047.58
12.01.2022 16:00:00;12.01.2022 17:00:00;1061.88
12.01.2022 17:00:00;12.01.2022 18:00:00;1038.78
12.01.2022 18:00:00;12.01.2022 19:00:00;963.38
12.01.2022 19:00:00;12.01.2022 20:00:00;673.25
12.01.2022 20:00:00;12.01.2022 21:00:00;440.64
12.01.2022 21:00:00;12.01.2022 22:00:00;409.23
12.01.2022 22:00:00;12.01.2022 23:00:00;292.92
12.01.2022 23:00:00;13.01.2022 00:00:00;240.22
13.01.2022 00:00:00;13.01.2022 01:00:00;225.04
13.01.2022 01:00:00;13.01.2022 02:00:00;212.93
13.01.2022 02:00:00;13.01.2022 03:00:00;194.66
13.01.2022 03:00:00;13.01.2022 04:00:00;191.59
13.01.2022 04:00:00;13.01.2022 05:00:00;191.49
13.01.2022 05:00:00;13.01.2022 06:00:00;219.28
13.01.2022 06:00:00;13.01.2022 07:00:00;289.36
13.01.2022 07:00:00;13.01.2022 08:00:00;405.9
13.01.2022 08:00:00;13.01.2022 09:00:00;496.73
13.01.2022 09:00:00;13.01.2022 10:00:00;503.09
13.01.2022 10:00:00;13.01.2022 11:00:00;498.62
13.01.2022 11:00:00;13.01.2022 12:00:00;460.5
13.01.2022 12:00:00;13.01.2022 13:00:00;403.62
13.01.2022 13:00:00;13.01.2022 14:00:00;371.56
13.01.2022 14:00:00;13.01.2022 15:00:00;353.09
13.01.2022 15:00:00;13.01.2022 16:00:00;377.61
13.01.2022 16:00:00;13.01.2022 17:00:00;424.27
13.01.2022 17:00:00;13.01.2022 18:00:00;471.22
13.01.2022 18:00:00;13.01.2022 19:00:00;424.76
13.01.2022 19:00:00;13.01.2022 20:00:00;333.24
13.01.2022 20:00:00;13.01.2022 21:00:00;297.8
13.01.2022 21:00:00;13.01.2022 22:00:00;290.55
13.01.2022 22:00:00;13.01.2022 23:00:00;252.63
13.01.2022 23:00:00;14.01.2022 00:00:00;191.19
14.01.2022 00:00:00;14.01.2022 01:00:00;213.21
14.01.2022 01:00:00;14.01.2022 02:00:00;196.12
14.01.2022 02:00:00;14.01.2022 03:00:00;189.96
14.01.2022 03:00:00;14.01.2022 04:00:00;188.08
14.01.2022 04:00:00;14.01.2022 05:00:00;198.01
14.01.2022 05:00:00;14.01.2022 06:00:00;246.3
14.01.2022 06:00:00;14.01.2022 07:00:00;307.5
14.01.2022 07:00:00;14.01.2022 08:00:00;478.48
14.01.2022 08:00:00;14.01.2022 09:00:00;581.31
14.01.2022 09:00:00;14.01.2022 10:00:00;576.84
14.01.2022 10:00:00;14.01.2022 11:00:00;596.91
14.01.2022 11:00:00;14.01.2022 12:00:00;590.55
14.01.2022 12:00:00;14.01.2022 13:00:00;571.08
14.01.2022 13:00:00;14.01.2022 14:00:00;549.42
14.01.2022 14:00:00;14.01.2022 15:00:00;586.98
14.01.2022 15:00:00;14.01.2022 16:00:00;755.48
14.01.2022 16:00:00;14.01.2022 17:00:00;993.33
14.01.2022 17:00:00;14.01.2022 18:00:00;1086.92
14.01.2022 18:00:00;14.01.2022 19:00:00;1067.85
14.01.2022 19:00:00;14.01.2022 20:00:00;927.66
14.01.2022 20:00:00;14.01.2022 21:00:00;890.4
14.01.2022 21:00:00;14.01.2022 22:00:00;895.27
14.01.2022 22:00:00;14.01.2022 23:00:00;861.39
14.01.2022 23:00:00;15.01.2022 00:00:00;744.85
15.01.2022 00:00:00;15.01.2022 01:00:00;745.67
15.01.2022 01:00:00;15.01.2022 02:00:00;750.85
15.01.2022 02:00:00;15.01.2022 03:00:00;745.47
15.01.2022 03:00:00;15.01.2022 04:00:00;761.1
15.01.2022 04:00:00;15.01.2022 05:00:00;858.92
15.01.2022 05:00:00;15.01.2022 06:00:00;903.31
15.01.2022 06:00:00;15.01.2022 07:00:00;1020.54
15.01.2022 07:00:00;15.01.2022 08:00:00;1102.84
15.01.2022 08:00:00;15.01.2022 09:00:00;1265.84
15.01.2022 09:00:00;15.01.2022 10:00:00;1343.76
15.01.2022 10:00:00;15.01.2022 11:00:00;1358.59
15.01.2022 11:00:00;15.01.2022 12:00:00;1363.87
15.01.2022 12:00:00;15.01.2022 13:00:00;1359.49
15.01.2022 13:00:00;15.01.2022 14:00:00;1353.22
15.01.2022 14:00:00;15.01.2022 15:00:00;1350.33
15.01.2022 15:00:00;15.01.2022 16:00:00;1369.84
15.01.2022 16:00:00;15.01.2022 17:00:00;1393.92
15.01.2022 17:00:00;15.01.2022 18:00:00;1398.7
15.01.2022 18:00:00;15.01.2022 19:00:00;1378.4
15.01.2022 19:00:00;15.01.2022 20:00:00;1317.39
15.01.2022 20:00:00;15.01.2022 21:00:00;1195.19
15.01.2022 21:00:00;15.01.2022 22:00:00;1068.4
15.01.2022 22:00:00;15.01.2022 23:00:00;993.17
15.01.2022 23:00:00;16.01.2022 00:00:00;669.74
16.01.2022 00:00:00;16.01.2022 01:00:00;439.78
16.01.2022 01:00:00;16.01.2022 02:00:00;379.98
16.01.2022 02:00:00;16.01.2022 03:00:00;299.39
16.01.2022 03:00:00;16.01.2022 04:00:00;296.29
16.01.2022 04:00:00;16.01.2022 05:00:00;291.99
16.01.2022 05:00:00;16.01.2022 06:00:00;300.29
16.01.2022 06:00:00;16.01.2022 07:00:00;287.99
16.01.2022 07:00:00;16.01.2022 08:00:00;284.29
16.01.2022 08:00:00;16.01.2022 09:00:00;274.39
16.01.2022 09:00:00;16.01.2022 10:00:00;284.59
16.01.2022 10:00:00;16.01.2022 11:00:00;284.89
16.01.2022 11:00:00;16.01.2022 12:00:00;269.99
16.01.2022 12:00:00;16.01.2022 13:00:00;266.19
16.01.2022 13:00:00;16.01.2022 14:00:00;267.39
16.01.2022 14:00:00;16.01.2022 15:00:00;254.59
16.01.2022 15:00:00;16.01.2022 16:00:00;259.19
16.01.2022 16:00:00;16.01.2022 17:00:00;280.89
16.01.2022 17:00:00;16.01.2022 18:00:00;372.48
16.01.2022 18:00:00;16.01.2022 19:00:00;289.89
16.01.2022 19:00:00;16.01.2022 20:00:00;281.39
16.01.2022 20:00:00;16.01.2022 21:00:00;259.29
16.01.2022 21:00:00;16.01.2022 22:00:00;255.79
16.01.2022 22:00:00;16.01.2022 23:00:00;232.69
16.01.2022 23:00:00;17.01.2022 00:00:00;186.49
17.01.2022 00:00:00;17.01.2022 01:00:00;192.89
17.01.2022 01:00:00;17.01.2022 02:00:00;189.39
17.01.2022 02:00:00;17.01.2022 03:00:00;185.59
17.01.2022 03:00:00;17.01.2022 04:00:00;178.49
17.01.2022 04:00:00;17.01.2022 05:00:00;188.29
17.01.2022 05:00:00;17.01.2022 06:00:00;209.19
17.01.2022 06:00:00;17.01.2022 07:00:00;246.49
17.01.2022 07:00:00;17.01.2022 08:00:00;399.38
17.01.2022 08:00:00;17.01.2022 09:00:00;593.87
17.01.2022 09:00:00;17.01.2022 10:00:00;592.47
17.01.2022 10:00:00;17.01.2022 11:00:00;599.87
17.01.2022 11:00:00;17.01.2022 12:00:00;581.47
17.01.2022 12:00:00;17.01.2022 13:00:00;594.47
17.01.2022 13:00:00;17.01.2022 14:00:00;705.67
17.01.2022 14:00:00;17.01.2022 15:00:00;957.66
17.01.2022 15:00:00;17.01.2022 16:00:00;1132.45
17.01.2022 16:00:00;17.01.2022 17:00:00;1242.95
17.01.2022 17:00:00;17.01.2022 18:00:00;1305.74
17.01.2022 18:00:00;17.01.2022 19:00:00;1293.24
17.01.2022 19:00:00;17.01.2022 20:00:00;1238.05
17.01.2022 20:00:00;17.01.2022 21:00:00;1175.65
17.01.2022 21:00:00;17.01.2022 22:00:00;1200.55
17.01.2022 22:00:00;17.01.2022 23:00:00;1128.75
17.01.2022 23:00:00;18.01.2022 00:00:00;1039.36
18.01.2022 00:00:00;18.01.2022 01:00:00;1050.29
18.01.2022 01:00:00;18.01.2022 02:00:00;1058.26
18.01.2022 02:00:00;18.01.2022 03:00:00;1075.39
18.01.2022 03:00:00;18.01.2022 04:00:00;1083.86
18.01.2022 04:00:00;18.01.2022 05:00:00;1093.22
18.01.2022 05:00:00;18.01.2022 06:00:00;1246.12
18.01.2022 06:00:00;18.01.2022 07:00:00;1392.05
18.01.2022 07:00:00;18.01.2022 08:00:00;1452.12
18.01.2022 08:00:00;18.01.2022 09:00:00;1451.32
18.01.2022 09:00:00;18.01.2022 10:00:00;1436.98
18.01.2022 10:00:00;18.01.2022 11:00:00;1421.64
18.01.2022 11:00:00;18.01.2022 12:00:00;1391.76
18.01.2022 12:00:00;18.01.2022 13:00:00;1364.16
18.01.2022 13:00:00;18.01.2022 14:00:00;1333.48
18.01.2022 14:00:00;18.01.2022 15:00:00;1293.24
18.01.2022 15:00:00;18.01.2022 16:00:00;1275.41
18.01.2022 16:00:00;18.01.2022 17:00:00;1293.34
18.01.2022 17:00:00;18.01.2022 18:00:00;1294.04
18.01.2022 18:00:00;18.01.2022 19:00:00;1231.68
18.01.2022 19:00:00;18.01.2022 20:00:00;1117.13
18.01.2022 20:00:00;18.01.2022 21:00:00;987.84
18.01.2022 21:00:00;18.01.2022 22:00:00;856.75
18.01.2022 22:00:00;18.01.2022 23:00:00;603.84
18.01.2022 23:00:00;19.01.2022 00:00:00;282.2
19.01.2022 00:00:00;19.01.2022 01:00:00;253.32
19.01.2022 01:00:00;19.01.2022 02:00:00;242.75
19.01.2022 02:00:00;19.01.2022 03:00:00;228.08
19.01.2022 03:00:00;19.01.2022 04:00:00;217.6
19.01.2022 04:00:00;19.01.2022 05:00:00;216.01
19.01.2022 05:00:00;19.01.2022 06:00:00;236.76
19.01.2022 06:00:00;19.01.2022 07:00:00;498.96
19.01.2022 07:00:00;19.01.2022 08:00:00;800.48
19.01.2022 08:00:00;19.01.2022 09:00:00;889.67
19.01.2022 09:00:00;19.01.2022 10:00:00;799.08
19.01.2022 10:00:00;19.01.2022 11:00:00;798.88
19.01.2022 11:00:00;19.01.2022 12:00:00;742.11
19.01.2022 12:00:00;19.01.2022 13:00:00;648.92
19.01.2022 13:00:00;19.01.2022 14:00:00;570.1
19.01.2022 14:00:00;19.01.2022 15:00:00;526.1
19.01.2022 15:00:00;19.01.2022 16:00:00;509.24
19.01.2022 16:00:00;19.01.2022 17:00:00;606.82
19.01.2022 17:00:00;19.01.2022 18:00:00;652.51
19.01.2022 18:00:00;19.01.2022 19:00:00;571.8
19.01.2022 19:00:00;19.01.2022 20:00:00;249.43
19.01.2022 20:00:00;19.01.2022 21:00:00;202.54
19.01.2022 21:00:00;19.01.2022 22:00:00;199.94
19.01.2022 22:00:00;19.01.2022 23:00:00;173.8
19.01.2022 23:00:00;20.01.2022 00:00:00;155.84
