Delivery Start (CET);Delivery End (CET);Price (NOK)
01.01.2022 00:00:00;01.01.2022 01:00:00;624.41
01.01.2022 01:00:00;01.01.2022 02:00:00;543.38
01.01.2022 02:00:00;01.01.2022 03:00:00;582.45
01.01.2022 03:00:00;01.01.2022 04:00:00;517.51
01.01.2022 04:00:00;01.01.2022 05:00:00;471.05
01.01.2022 05:00:00;01.01.2022 06:00:00;497.93
01.01.2022 06:00:00;01.01.2022 07:00:00;532.89
01.01.2022 07:00:00;01.01.2022 08:00:00;523.1
01.01.2022 08:00:00;01.01.2022 09:00:00;633.8
01.01.2022 09:00:00;01.01.2022 10:00:00;664.87
01.01.2022 10:00:00;01.01.2022 11:00:00;686.35
01.01.2022 11:00:00;01.01.2022 12:00:00;683.65
01.01.2022 12:00:00;01.01.2022 13:00:00;710.02
01.01.2022 13:00:00;01.01.2022 14:00:00;741
01.01.2022 14:00:00;01.01.2022 15:00:00;823.22
01.01.2022 15:00:00;01.01.2022 16:00:00;875.07
01.01.2022 16:00:00;01.01.2022 17:00:00;1047.5
01.01.2022 17:00:00;01.01.2022 18:00:00;1372
01.01.2022 18:00:00;01.01.2022 19:00:00;1337.83
01.01.2022 19:00:00;01.01.2022 20:00:00;1229.43
01.01.2022 20:00:00;01.01.2022 21:00:00;948.4
01.01.2022 21:00:00;01.01.2022 22:00:00;845.8
01.01.2022 22:00:00;01.01.2022 23:00:00;744.19
01.01.2022 23:00:00;02.01.2022 00:00:00;643.49
02.01.2022 00:00:00;02.01.2022 01:00:00;493.6
02.01.2022 01:00:00;02.01.2022 02:00:00;480.21
02.01.2022 02:00:00;02.01.2022 03:00:00;465.71
02.01.2022 03:00:00;02.01.2022 04:00:00;431.03
02.01.2022 04:00:00;02.01.2022 05:00:00;348.96
02.01.2022 05:00:00;02.01.2022 06:00:00;431.63
02.01.2022 06:00:00;02.01.2022 07:00:00;468.11
02.01.2022 07:00:00;02.01.2022 08:00:00;469.81
02.01.2022 08:00:00;02.01.2022 09:00:00;521.69
02.01.2022 09:00:00;02.01.2022 10:00:00;586.37
02.01.2022 10:00:00;02.01.2022 11:00:00;659.34
02.01.2022 11:00:00;02.01.2022 12:00:00;665.33
02.01.2022 12:00:00;02.01.2022 13:00:00;649.44
02.01.2022 13:00:00;02.01.2022 14:00:00;575.37
02.01.2022 14:00:00;02.01.2022 15:00:00;626.65
02.01.2022 15:00:00;02.01.2022 16:00:00;704.92
02.01.2022 16:00:00;02.01.2022 17:00:00;751.6
02.01.2022 17:00:00;02.01.2022 18:00:00;875.75
02.01.2022 18:00:00;02.01.2022 19:00:00;823.07
02.01.2022 19:00:00;02.01.2022 20:00:00;688.72
02.01.2022 20:00:00;02.01.2022 21:00:00;620.15
02.01.2022 21:00:00;02.01.2022 22:00:00;537.68
02.01.2022 22:00:00;02.01.2022 23:00:00;536.79
02.01.2022 23:00:00;03.01.2022 00:00:00;389.14
03.01.2022 00:00:00;03.01.2022 01:00:00;338.36
03.01.2022 01:00:00;03.01.2022 02:00:00;332.47
03.01.2022 02:00:00;03.01.2022 03:00:00;320.67
03.01.2022 03:00:00;03.01.2022 04:00:00;310.38
03.01.2022 04:00:00;03.01.2022 05:00:00;315.87
03.01.2022 05:00:00;03.01.2022 06:00:00;375.65
03.01.2022 06:00:00;03.01.2022 07:00:00;611.06
03.01.2022 07:00:00;03.01.2022 08:00:00;934.93
03.01.2022 08:00:00;03.01.2022 09:00:00;1080.67
03.01.2022 09:00:00;03.01.2022 10:00:00;1083.37
03.01.2022 10:00:00;03.01.2022 11:00:00;972.31
03.01.2022 11:00:00;03.01.2022 12:00:00;961.92
03.01.2022 12:00:00;03.01.2022 13:00:00;964.01
03.01.2022 13:00:00;03.01.2022 14:00:00;942.32
03.01.2022 14:00:00;03.01.2022 15:00:00;968.91
03.01.2022 15:00:00;03.01.2022 16:00:00;1075.57
03.01.2022 16:00:00;03.01.2022 17:00:00;1094.66
03.01.2022 17:00:00;03.01.2022 18:00:00;1198.72
03.01.2022 18:00:00;03.01.2022 19:00:00;1169.23
03.01.2022 19:00:00;03.01.2022 20:00:00;1094.26
