Delivery Start (CET);Delivery End (CET);Price (NOK)
01.01.2021 00:00:00;01.01.2021 01:00:00;258.4
01.01.2021 01:00:00;01.01.2021 02:00:00;253.59
01.01.2021 02:00:00;01.01.2021 03:00:00;249.62
01.01.2021 03:00:00;01.01.2021 04:00:00;246.59
01.01.2021 04:00:00;01.01.2021 05:00:00;247.12
01.01.2021 05:00:00;01.01.2021 06:00:00;251.29
01.01.2021 06:00:00;01.01.2021 07:00:00;255.16
01.01.2021 07:00:00;01.01.2021 08:00:00;260.07
01.01.2021 08:00:00;01.01.2021 09:00:00;260.17
01.01.2021 09:00:00;01.01.2021 10:00:00;263.72
01.01.2021 10:00:00;01.01.2021 11:00:00;270.72
01.01.2021 11:00:00;01.01.2021 12:00:00;275.73
01.01.2021 12:00:00;01.01.2021 13:00:00;282
01.01.2021 13:00:00;01.01.2021 14:00:00;285.13
01.01.2021 14:00:00;01.01.2021 15:00:00;293.07
01.01.2021 15:00:00;01.01.2021 16:00:00;307.49
01.01.2021 16:00:00;01.01.2021 17:00:00;358.66
01.01.2021 17:00:00;01.01.2021 18:00:00;415.9
01.01.2021 18:00:00;01.01.2021 19:00:00;361.17
01.01.2021 19:00:00;01.01.2021 20:00:00;318.98
01.01.2021 20:00:00;01.01.2021 21:00:00;299.76
01.01.2021 21:00:00;01.01.2021 22:00:00;295.47
01.01.2021 22:00:00;01.01.2021 23:00:00;282.21
01.01.2021 23:00:00;02.01.2021 00:00:00;268.53
02.01.2021 00:00:00;02.01.2021 01:00:00;266.65
02.01.2021 01:00:00;02.01.2021 02:00:00;259.44
02.01.2021 02:00:00;02.01.2021 03:00:00;257.67
02.01.2021 03:00:00;02.01.2021 04:00:00;257.14
02.01.2021 04:00:00;02.01.2021 05:00:00;257.87
02.01.2021 05:00:00;02.01.2021 06:00:00;260.28
02.01.2021 06:00:00;02.01.2021 07:00:00;268.42
02.01.2021 07:00:00;02.01.2021 08:00:00;276.47
02.01.2021 08:00:00;02.01.2021 09:00:00;286.81
02.01.2021 09:00:00;02.01.2021 10:00:00;292.97
02.01.2021 10:00:00;02.01.2021 11:00:00;301.43
02.01.2021 11:00:00;02.01.2021 12:00:00;303.2
02.01.2021 12:00:00;02.01.2021 13:00:00;301.95
02.01.2021 13:00:00;02.01.2021 14:00:00;301.32
02.01.2021 14:00:00;02.01.2021 15:00:00;305.92
02.01.2021 15:00:00;02.01.2021 16:00:00;318.77
02.01.2021 16:00:00;02.01.2021 17:00:00;459.24
02.01.2021 17:00:00;02.01.2021 18:00:00;507.18
02.01.2021 18:00:00;02.01.2021 19:00:00;499.66
02.01.2021 19:00:00;02.01.2021 20:00:00;380.7
02.01.2021 20:00:00;02.01.2021 21:00:00;299.23
02.01.2021 21:00:00;02.01.2021 22:00:00;296
02.01.2021 22:00:00;02.01.2021 23:00:00;287.22
02.01.2021 23:00:00;03.01.2021 00:00:00;271.14
03.01.2021 00:00:00;03.01.2021 01:00:00;266.44
03.01.2021 01:00:00;03.01.2021 02:00:00;258.4
03.01.2021 02:00:00;03.01.2021 03:00:00;250.88
03.01.2021 03:00:00;03.01.2021 04:00:00;248.27
03.01.2021 04:00:00;03.01.2021 05:00:00;245.55
03.01.2021 05:00:00;03.01.2021 06:00:00;248.68
03.01.2021 06:00:00;03.01.2021 07:00:00;250.56
03.01.2021 07:00:00;03.01.2021 08:00:00;258.61
03.01.2021 08:00:00;03.01.2021 09:00:00;260.69
03.01.2021 09:00:00;03.01.2021 10:00:00;267.48
03.01.2021 10:00:00;03.01.2021 11:00:00;271.24
03.01.2021 11:00:00;03.01.2021 12:00:00;271.87
03.01.2021 12:00:00;03.01.2021 13:00:00;269.99
03.01.2021 13:00:00;03.01.2021 14:00:00;269.68
03.01.2021 14:00:00;03.01.2021 15:00:00;271.56
03.01.2021 15:00:00;03.01.2021 16:00:00;276.88
03.01.2021 16:00:00;03.01.2021 17:00:00;293.8
03.01.2021 17:00:00;03.01.2021 18:00:00;298.92
03.01.2021 18:00:00;03.01.2021 19:00:00;294.22
03.01.2021 19:00:00;03.01.2021 20:00:00;289.21
03.01.2021 20:00:00;03.01.2021 21:00:00;283.88
03.01.2021 21:00:00;03.01.2021 22:00:00;281.48
03.01.2021 22:00:00;03.01.2021 23:00:00;271.45
03.01.2021 23:00:00;04.01.2021 00:00:00;259.55
04.01.2021 00:00:00;04.01.2021 01:00:00;256.31
04.01.2021 01:00:00;04.01.2021 02:00:00;247.74
04.01.2021 02:00:00;04.01.2021 03:00:00;245.03
04.01.2021 03:00:00;04.01.2021 04:00:00;246.07
04.01.2021 04:00:00;04.01.2021 05:00:00;253.28
04.01.2021 05:00:00;04.01.2021 06:00:00;266.86
04.01.2021 06:00:00;04.01.2021 07:00:00;286.81
04.01.2021 07:00:00;04.01.2021 08:00:00;326.08
04.01.2021 08:00:00;04.01.2021 09:00:00;479.92
04.01.2021 09:00:00;04.01.2021 10:00:00;507.39
04.01.2021 10:00:00;04.01.2021 11:00:00;530.16
04.01.2021 11:00:00;04.01.2021 12:00:00;532.04
04.01.2021 12:00:00;04.01.2021 13:00:00;522.33
04.01.2021 13:00:00;04.01.2021 14:00:00;523.06
04.01.2021 14:00:00;04.01.2021 15:00:00;529.75
04.01.2021 15:00:00;04.01.2021 16:00:00;530.06
04.01.2021 16:00:00;04.01.2021 17:00:00;532.04
04.01.2021 17:00:00;04.01.2021 18:00:00;605.57
04.01.2021 18:00:00;04.01.2021 19:00:00;529.64
04.01.2021 19:00:00;04.01.2021 20:00:00;514.08
04.01.2021 20:00:00;04.01.2021 21:00:00;363.16
04.01.2021 21:00:00;04.01.2021 22:00:00;344.77
04.01.2021 22:00:00;04.01.2021 23:00:00;310.93
04.01.2021 23:00:00;05.01.2021 00:00:00;278.66
05.01.2021 00:00:00;05.01.2021 01:00:00;283.75
05.01.2021 01:00:00;05.01.2021 02:00:00;280.73
05.01.2021 02:00:00;05.01.2021 03:00:00;278.12
05.01.2021 03:00:00;05.01.2021 04:00:00;278.64
05.01.2021 04:00:00;05.01.2021 05:00:00;284.17
05.01.2021 05:00:00;05.01.2021 06:00:00;301.39
05.01.2021 06:00:00;05.01.2021 07:00:00;345.33
05.01.2021 07:00:00;05.01.2021 08:00:00;522.22
05.01.2021 08:00:00;05.01.2021 09:00:00;578.68
05.01.2021 09:00:00;05.01.2021 10:00:00;582.02
05.01.2021 10:00:00;05.01.2021 11:00:00;573.15
05.01.2021 11:00:00;05.01.2021 12:00:00;577.74
05.01.2021 12:00:00;05.01.2021 13:00:00;580.24
05.01.2021 13:00:00;05.01.2021 14:00:00;586.29
05.01.2021 14:00:00;05.01.2021 15:00:00;579.93
05.01.2021 15:00:00;05.01.2021 16:00:00;591.3
05.01.2021 16:00:00;05.01.2021 17:00:00;605.5
05.01.2021 17:00:00;05.01.2021 18:00:00;605.5
05.01.2021 18:00:00;05.01.2021 19:00:00;570.85
05.01.2021 19:00:00;05.01.2021 20:00:00;557.8
05.01.2021 20:00:00;05.01.2021 21:00:00;378.83
05.01.2021 21:00:00;05.01.2021 22:00:00;386.97
05.01.2021 22:00:00;05.01.2021 23:00:00;329.15
05.01.2021 23:00:00;06.01.2021 00:00:00;300.56
06.01.2021 00:00:00;06.01.2021 01:00:00;309.14
06.01.2021 01:00:00;06.01.2021 02:00:00;298.04
06.01.2021 02:00:00;06.01.2021 03:00:00;289.24
