Delivery Start (CET);Delivery End (CET);NO3 Price (NOK);NO4 Price (NOK);SE1 Price (NOK)
01.01.2024 00:00:00;01.01.2024 01:00:00;331.57;331.57;331.57
01.01.2024 01:00:00;01.01.2024 02:00:00;319.23;319.23;319.23
01.01.2024 02:00:00;01.01.2024 03:00:00;299.04;299.04;299.04
01.01.2024 03:00:00;01.01.2024 04:00:00;274.59;274.59;274.59
01.01.2024 04:00:00;01.01.2024 05:00:00;269.32;269.32;269.32
01.01.2024 05:00:00;01.01.2024 06:00:00;238.13;238.13;238.13
01.01.2024 06:00:00;01.01.2024 07:00:00;253.72;253.72;253.72
01.01.2024 07:00:00;01.01.2024 08:00:00;280.87;280.87;280.87
01.01.2024 08:00:00;01.01.2024 09:00:00;294.33;294.33;294.33
01.01.2024 09:00:00;01.01.2024 10:00:00;361.29;346.94;361.29
01.01.2024 10:00:00;01.01.2024 11:00:00;463.7;370.04;463.7
01.01.2024 11:00:00;01.01.2024 12:00:00;488.04;398.87;488.04
01.01.2024 12:00:00;01.01.2024 13:00:00;482.55;398.87;482.55
01.01.2024 13:00:00;01.01.2024 14:00:00;496.79;427.81;496.79
01.01.2024 14:00:00;01.01.2024 15:00:00;518.67;427.81;518.67
01.01.2024 15:00:00;01.01.2024 16:00:00;567.68;427.81;567.68
01.01.2024 16:00:00;01.01.2024 17:00:00;667.06;443.63;667.06
01.01.2024 17:00:00;01.01.2024 18:00:00;728.98;451.48;728.98
01.01.2024 18:00:00;01.01.2024 19:00:00;692.53;427.81;692.53
01.01.2024 19:00:00;01.01.2024 20:00:00;617.71;427.81;617.71
01.01.2024 20:00:00;01.01.2024 21:00:00;538.52;398.87;538.52
01.01.2024 21:00:00;01.01.2024 22:00:00;493.65;398.87;493.65
01.01.2024 22:00:00;01.01.2024 23:00:00;507;398.87;507
01.01.2024 23:00:00;02.01.2024 00:00:00;426.24;392.7;426.24
02.01.2024 00:00:00;02.01.2024 01:00:00;426.24;366.23;426.24
02.01.2024 01:00:00;02.01.2024 02:00:00;376.44;367.24;376.44
02.01.2024 02:00:00;02.01.2024 03:00:00;359.27;359.27;359.27
02.01.2024 03:00:00;02.01.2024 04:00:00;362.19;362.19;362.19
02.01.2024 04:00:00;02.01.2024 05:00:00;411.66;372.62;411.66
02.01.2024 05:00:00;02.01.2024 06:00:00;467.97;428.26;467.97
02.01.2024 06:00:00;02.01.2024 07:00:00;551.64;469.2;551.64
02.01.2024 07:00:00;02.01.2024 08:00:00;658.99;498.25;658.99
02.01.2024 08:00:00;02.01.2024 09:00:00;736.61;498.48;736.61
02.01.2024 09:00:00;02.01.2024 10:00:00;741.54;498.48;741.54
02.01.2024 10:00:00;02.01.2024 11:00:00;773.74;498.14;773.74
02.01.2024 11:00:00;02.01.2024 12:00:00;824.88;498.14;824.88
02.01.2024 12:00:00;02.01.2024 13:00:00;876.71;503.3;876.71
02.01.2024 13:00:00;02.01.2024 14:00:00;884.67;527.86;884.67
02.01.2024 14:00:00;02.01.2024 15:00:00;888.82;548.17;888.82
02.01.2024 15:00:00;02.01.2024 16:00:00;896.9;556.69;896.9
02.01.2024 16:00:00;02.01.2024 17:00:00;913.72;520.12;913.72
02.01.2024 17:00:00;02.01.2024 18:00:00;907.67;498.81;907.67
02.01.2024 18:00:00;02.01.2024 19:00:00;840.7;493.76;840.7
02.01.2024 19:00:00;02.01.2024 20:00:00;708.68;477.84;708.68
02.01.2024 20:00:00;02.01.2024 21:00:00;640.59;498.7;640.59
02.01.2024 21:00:00;02.01.2024 22:00:00;538.86;481.31;538.86
02.01.2024 22:00:00;02.01.2024 23:00:00;509.58;453.61;459.78
02.01.2024 23:00:00;03.01.2024 00:00:00;476.71;428.26;430.17
03.01.2024 00:00:00;03.01.2024 01:00:00;458.17;454.13;458.17
03.01.2024 01:00:00;03.01.2024 02:00:00;440.32;429.76;440.32
03.01.2024 02:00:00;03.01.2024 03:00:00;419.54;378.78;419.54
03.01.2024 03:00:00;03.01.2024 04:00:00;406.18;377.21;406.18
03.01.2024 04:00:00;03.01.2024 05:00:00;429.09;400.34;429.09
03.01.2024 05:00:00;03.01.2024 06:00:00;478.16;450.87;478.16
03.01.2024 06:00:00;03.01.2024 07:00:00;555.2;500.4;555.2
03.01.2024 07:00:00;03.01.2024 08:00:00;601.13;500.06;601.13
03.01.2024 08:00:00;03.01.2024 09:00:00;712.86;483.66;712.86
03.01.2024 09:00:00;03.01.2024 10:00:00;729.82;500.51;729.82
03.01.2024 10:00:00;03.01.2024 11:00:00;675.92;526.22;675.92
03.01.2024 11:00:00;03.01.2024 12:00:00;673.33;512.86;673.33
03.01.2024 12:00:00;03.01.2024 13:00:00;671.54;541.05;671.54
03.01.2024 13:00:00;03.01.2024 14:00:00;660.98;550.7;660.98
03.01.2024 14:00:00;03.01.2024 15:00:00;729.82;558.79;729.82
03.01.2024 15:00:00;03.01.2024 16:00:00;772.94;538.8;772.94
03.01.2024 16:00:00;03.01.2024 17:00:00;826.39;513.2;826.39
03.01.2024 17:00:00;03.01.2024 18:00:00;923.98;502.87;923.98
03.01.2024 18:00:00;03.01.2024 19:00:00;931.73;500.62;931.73
03.01.2024 19:00:00;03.01.2024 20:00:00;887.48;500.17;887.48
03.01.2024 20:00:00;03.01.2024 21:00:00;822.35;500.17;822.35
03.01.2024 21:00:00;03.01.2024 22:00:00;756.99;495.79;756.99
03.01.2024 22:00:00;03.01.2024 23:00:00;729.93;472.43;729.93
03.01.2024 23:00:00;04.01.2024 00:00:00;652.67;451.66;652.67
04.01.2024 00:00:00;04.01.2024 01:00:00;664.89;448.13;664.89
04.01.2024 01:00:00;04.01.2024 02:00:00;607.02;428.09;607.02
04.01.2024 02:00:00;04.01.2024 03:00:00;616.53;428.09;616.53
04.01.2024 03:00:00;04.01.2024 04:00:00;624.91;428.09;624.91
04.01.2024 04:00:00;04.01.2024 05:00:00;659.68;428.09;659.68
04.01.2024 05:00:00;04.01.2024 06:00:00;669.87;483.47;669.87
04.01.2024 06:00:00;04.01.2024 07:00:00;822.76;498.3;822.76
04.01.2024 07:00:00;04.01.2024 08:00:00;962.85;481.09;962.85
04.01.2024 08:00:00;04.01.2024 09:00:00;1035.9;517.44;1035.9
04.01.2024 09:00:00;04.01.2024 10:00:00;1066.82;556.51;1066.82
04.01.2024 10:00:00;04.01.2024 11:00:00;1041.68;563.08;1041.68
04.01.2024 11:00:00;04.01.2024 12:00:00;1023.78;565.46;1023.78
04.01.2024 12:00:00;04.01.2024 13:00:00;981.77;598.07;981.77
04.01.2024 13:00:00;04.01.2024 14:00:00;973.5;608.49;973.5
04.01.2024 14:00:00;04.01.2024 15:00:00;1043.15;654.47;1043.15
04.01.2024 15:00:00;04.01.2024 16:00:00;1116.87;654.47;1116.87
04.01.2024 16:00:00;04.01.2024 17:00:00;1197.39;648.24;1197.39
04.01.2024 17:00:00;04.01.2024 18:00:00;1508.83;598.19;1508.83
04.01.2024 18:00:00;04.01.2024 19:00:00;1638.16;556.51;1638.16
04.01.2024 19:00:00;04.01.2024 20:00:00;1374.52;525.14;1374.52
04.01.2024 20:00:00;04.01.2024 21:00:00;1139.07;556.51;1139.07
04.01.2024 21:00:00;04.01.2024 22:00:00;1099.77;517.55;1099.77
04.01.2024 22:00:00;04.01.2024 23:00:00;1067.72;498.3;1067.72
04.01.2024 23:00:00;05.01.2024 00:00:00;1006;448.7;1006
05.01.2024 00:00:00;05.01.2024 01:00:00;1001.29;424.62;930.73
05.01.2024 01:00:00;05.01.2024 02:00:00;936.59;414.7;936.59
05.01.2024 02:00:00;05.01.2024 03:00:00;901.76;399.48;901.76
05.01.2024 03:00:00;05.01.2024 04:00:00;903.67;401.17;903.67
05.01.2024 04:00:00;05.01.2024 05:00:00;929.82;409.85;929.82
05.01.2024 05:00:00;05.01.2024 06:00:00;993.51;453.13;993.51
05.01.2024 06:00:00;05.01.2024 07:00:00;1237.55;467;1155.26
05.01.2024 07:00:00;05.01.2024 08:00:00;1859.99;498.67;1487.45
05.01.2024 08:00:00;05.01.2024 09:00:00;2246.17;542.86;2246.17
05.01.2024 09:00:00;05.01.2024 10:00:00;2686.22;606.32;2686.22
05.01.2024 10:00:00;05.01.2024 11:00:00;2884.05;668.32;2884.05
05.01.2024 11:00:00;05.01.2024 12:00:00;2379.63;668.32;2379.63
05.01.2024 12:00:00;05.01.2024 13:00:00;2291.37;668.32;2291.37
05.01.2024 13:00:00;05.01.2024 14:00:00;2220.35;668.32;2220.35
05.01.2024 14:00:00;05.01.2024 15:00:00;2230.27;668.43;2230.27
05.01.2024 15:00:00;05.01.2024 16:00:00;3380.91;668.43;3380.91
