Delivery Start (CET);Delivery End (CET);NO3 Price (NOK);NO4 Price (NOK);SE1 Price (NOK)
05.01.2024 16:00:00;05.01.2024 17:00:00;5068.33;668.32;5068.33
05.01.2024 17:00:00;05.01.2024 18:00:00;5931.87;668.32;5931.87
05.01.2024 18:00:00;05.01.2024 19:00:00;3944.63;606.43;3944.63
05.01.2024 19:00:00;05.01.2024 20:00:00;2050.48;606.43;2050.48
05.01.2024 20:00:00;05.01.2024 21:00:00;1686.29;606.43;1686.29
05.01.2024 21:00:00;05.01.2024 22:00:00;1271.7;606.32;1271.7
05.01.2024 22:00:00;05.01.2024 23:00:00;1128.32;573.74;1128.32
05.01.2024 23:00:00;06.01.2024 00:00:00;1046.83;548.04;1046.83
06.01.2024 00:00:00;06.01.2024 01:00:00;959.53;600.95;959.53
06.01.2024 01:00:00;06.01.2024 02:00:00;940.54;539.79;940.54
06.01.2024 02:00:00;06.01.2024 03:00:00;927.31;527.81;927.31
06.01.2024 03:00:00;06.01.2024 04:00:00;929.01;500.79;929.01
06.01.2024 04:00:00;06.01.2024 05:00:00;932.97;524.87;932.97
06.01.2024 05:00:00;06.01.2024 06:00:00;951.05;533.35;951.05
06.01.2024 06:00:00;06.01.2024 07:00:00;955.01;547.37;955.01
06.01.2024 07:00:00;06.01.2024 08:00:00;988.36;597.79;988.36
06.01.2024 08:00:00;06.01.2024 09:00:00;1027.25;693.99;1027.25
06.01.2024 09:00:00;06.01.2024 10:00:00;1073.71;725.64;1073.71
06.01.2024 10:00:00;06.01.2024 11:00:00;1135.09;694.1;1135.09
06.01.2024 11:00:00;06.01.2024 12:00:00;1171.72;600.95;1171.72
06.01.2024 12:00:00;06.01.2024 13:00:00;1156.8;527.81;1156.8
06.01.2024 13:00:00;06.01.2024 14:00:00;1105.02;500.79;1105.02
06.01.2024 14:00:00;06.01.2024 15:00:00;1079.7;500.34;1079.7
06.01.2024 15:00:00;06.01.2024 16:00:00;1113.5;485.3;1113.5
06.01.2024 16:00:00;06.01.2024 17:00:00;1243.5;448;1243.5
06.01.2024 17:00:00;06.01.2024 18:00:00;1336.99;500.11;1336.99
06.01.2024 18:00:00;06.01.2024 19:00:00;1208.91;500.57;1208.91
06.01.2024 19:00:00;06.01.2024 20:00:00;1156.12;500.34;1156.12
06.01.2024 20:00:00;06.01.2024 21:00:00;1073.71;527.92;1073.71
06.01.2024 21:00:00;06.01.2024 22:00:00;1024.53;527.92;1024.53
06.01.2024 22:00:00;06.01.2024 23:00:00;1009.95;527.81;1009.95
06.01.2024 23:00:00;07.01.2024 00:00:00;936.02;499.89;936.02
07.01.2024 00:00:00;07.01.2024 01:00:00;975.98;424.04;975.98
07.01.2024 01:00:00;07.01.2024 02:00:00;934.18;424.04;934.18
07.01.2024 02:00:00;07.01.2024 03:00:00;897.47;426.76;897.47
07.01.2024 03:00:00;07.01.2024 04:00:00;878.33;415.2;878.33
07.01.2024 04:00:00;07.01.2024 05:00:00;871.08;399.8;871.08
07.01.2024 05:00:00;07.01.2024 06:00:00;877.08;355.05;877.08
07.01.2024 06:00:00;07.01.2024 07:00:00;888.75;334.88;888.75
07.01.2024 07:00:00;07.01.2024 08:00:00;910.5;339.19;910.5
07.01.2024 08:00:00;07.01.2024 09:00:00;954;342.7;954
07.01.2024 09:00:00;07.01.2024 10:00:00;992.07;344.51;992.07
07.01.2024 10:00:00;07.01.2024 11:00:00;1016.77;342.59;1016.77
07.01.2024 11:00:00;07.01.2024 12:00:00;947.43;348.02;947.43
07.01.2024 12:00:00;07.01.2024 13:00:00;861.56;351.65;861.56
07.01.2024 13:00:00;07.01.2024 14:00:00;770.36;347.46;770.36
07.01.2024 14:00:00;07.01.2024 15:00:00;734.68;327.4;734.68
07.01.2024 15:00:00;07.01.2024 16:00:00;722.22;326.61;722.22
07.01.2024 16:00:00;07.01.2024 17:00:00;682.68;326.61;682.68
07.01.2024 17:00:00;07.01.2024 18:00:00;682.45;322.53;682.45
07.01.2024 18:00:00;07.01.2024 19:00:00;681.88;317.1;681.88
07.01.2024 19:00:00;07.01.2024 20:00:00;648.12;316.64;648.12
07.01.2024 20:00:00;07.01.2024 21:00:00;625.24;322.42;625.24
07.01.2024 21:00:00;07.01.2024 22:00:00;677.81;326.61;677.81
07.01.2024 22:00:00;07.01.2024 23:00:00;661.04;324.91;661.04
07.01.2024 23:00:00;08.01.2024 00:00:00;662.74;314.04;662.74
08.01.2024 00:00:00;08.01.2024 01:00:00;612.44;326.61;612.44
08.01.2024 01:00:00;08.01.2024 02:00:00;614.7;326.61;614.7
08.01.2024 02:00:00;08.01.2024 03:00:00;619.92;327.29;619.92
08.01.2024 03:00:00;08.01.2024 04:00:00;622.97;351.42;622.97
08.01.2024 04:00:00;08.01.2024 05:00:00;635.66;406.59;635.66
08.01.2024 05:00:00;08.01.2024 06:00:00;658.55;429.7;658.55
08.01.2024 06:00:00;08.01.2024 07:00:00;623.2;455.08;614.48
08.01.2024 07:00:00;08.01.2024 08:00:00;721.42;501.98;609.38
08.01.2024 08:00:00;08.01.2024 09:00:00;749.97;538.46;609.83
08.01.2024 09:00:00;08.01.2024 10:00:00;737.4;531.1;609.38
08.01.2024 10:00:00;08.01.2024 11:00:00;675.88;502.32;607.45
08.01.2024 11:00:00;08.01.2024 12:00:00;631.13;472.07;606.32
08.01.2024 12:00:00;08.01.2024 13:00:00;618.44;436.73;602.7
08.01.2024 13:00:00;08.01.2024 14:00:00;598.16;432.42;598.16
08.01.2024 14:00:00;08.01.2024 15:00:00;590.46;427.1;590.46
08.01.2024 15:00:00;08.01.2024 16:00:00;572.67;454.85;572.67
08.01.2024 16:00:00;08.01.2024 17:00:00;572.33;427.1;555.45
08.01.2024 17:00:00;08.01.2024 18:00:00;557.38;382.46;552.17
08.01.2024 18:00:00;08.01.2024 19:00:00;534.04;338.96;534.04
08.01.2024 19:00:00;08.01.2024 20:00:00;532.57;326.61;530.42
08.01.2024 20:00:00;08.01.2024 21:00:00;529.74;334.2;529.74
08.01.2024 21:00:00;08.01.2024 22:00:00;542.31;326.61;542.31
08.01.2024 22:00:00;08.01.2024 23:00:00;546.39;324.01;546.39
08.01.2024 23:00:00;09.01.2024 00:00:00;539.82;314.83;539.82
09.01.2024 00:00:00;09.01.2024 01:00:00;315.09;315.09;315.09
09.01.2024 01:00:00;09.01.2024 02:00:00;303.94;303.94;303.94
09.01.2024 02:00:00;09.01.2024 03:00:00;299.39;299.39;299.39
09.01.2024 03:00:00;09.01.2024 04:00:00;298.71;298.71;298.71
09.01.2024 04:00:00;09.01.2024 05:00:00;305.65;305.65;305.65
09.01.2024 05:00:00;09.01.2024 06:00:00;317.81;317.81;317.81
09.01.2024 06:00:00;09.01.2024 07:00:00;321.34;321.34;321.34
09.01.2024 07:00:00;09.01.2024 08:00:00;490.2;399.8;399.8
09.01.2024 08:00:00;09.01.2024 09:00:00;542.62;408.33;408.33
09.01.2024 09:00:00;09.01.2024 10:00:00;545.35;399;399
09.01.2024 10:00:00;09.01.2024 11:00:00;556.37;391.16;391.16
09.01.2024 11:00:00;09.01.2024 12:00:00;556.37;397.75;397.75
09.01.2024 12:00:00;09.01.2024 13:00:00;571.73;409.69;409.69
09.01.2024 13:00:00;09.01.2024 14:00:00;574.45;419.36;419.36
09.01.2024 14:00:00;09.01.2024 15:00:00;574.57;400.59;400.59
09.01.2024 15:00:00;09.01.2024 16:00:00;579.57;410.26;410.26
09.01.2024 16:00:00;09.01.2024 17:00:00;588.1;406.73;406.73
09.01.2024 17:00:00;09.01.2024 18:00:00;566.84;396.16;396.16
09.01.2024 18:00:00;09.01.2024 19:00:00;566.61;379.67;379.67
09.01.2024 19:00:00;09.01.2024 20:00:00;557.06;393.2;393.2
09.01.2024 20:00:00;09.01.2024 21:00:00;556.49;381.04;381.04
09.01.2024 21:00:00;09.01.2024 22:00:00;534.43;374.33;374.33
09.01.2024 22:00:00;09.01.2024 23:00:00;555.24;353.75;353.75
09.01.2024 23:00:00;10.01.2024 00:00:00;515.67;344.88;344.88
10.01.2024 00:00:00;10.01.2024 01:00:00;577.9;325.05;325.05
10.01.2024 01:00:00;10.01.2024 02:00:00;561.01;323.23;323.23
10.01.2024 02:00:00;10.01.2024 03:00:00;537.33;317.23;317.23
10.01.2024 03:00:00;10.01.2024 04:00:00;509.67;310.54;310.54
10.01.2024 04:00:00;10.01.2024 05:00:00;475.67;310.09;310.09
10.01.2024 05:00:00;10.01.2024 06:00:00;453.46;292.97;292.97
10.01.2024 06:00:00;10.01.2024 07:00:00;475.11;298.53;298.53
10.01.2024 07:00:00;10.01.2024 08:00:00;527.13;310.43;310.43
10.01.2024 08:00:00;10.01.2024 09:00:00;559.31;313.83;313.83
10.01.2024 09:00:00;10.01.2024 10:00:00;582.21;319.95;319.95
10.01.2024 10:00:00;10.01.2024 11:00:00;581.98;322.1;322.1
10.01.2024 11:00:00;10.01.2024 12:00:00;572.23;323.91;323.91
10.01.2024 12:00:00;10.01.2024 13:00:00;573.14;324.71;324.71
10.01.2024 13:00:00;10.01.2024 14:00:00;570.99;315.07;315.07
10.01.2024 14:00:00;10.01.2024 15:00:00;567.59;310.88;310.88
10.01.2024 15:00:00;10.01.2024 16:00:00;566.23;304.53;304.53
10.01.2024 16:00:00;10.01.2024 17:00:00;569.97;298.3;298.3
10.01.2024 17:00:00;10.01.2024 18:00:00;557.27;300.79;300.79
10.01.2024 18:00:00;10.01.2024 19:00:00;568.27;293.99;293.99
10.01.2024 19:00:00;10.01.2024 20:00:00;562.6;287.76;287.76
10.01.2024 20:00:00;10.01.2024 21:00:00;560.11;284.36;284.36
10.01.2024 21:00:00;10.01.2024 22:00:00;530.98;286.97;286.97
10.01.2024 22:00:00;10.01.2024 23:00:00;508.88;280.17;276.88
10.01.2024 23:00:00;11.01.2024 00:00:00;486.33;274.95;243.67
11.01.2024 00:00:00;11.01.2024 01:00:00;427.15;289.4;238.13
11.01.2024 01:00:00;11.01.2024 02:00:00;434.72;292.33;246.72
11.01.2024 02:00:00;11.01.2024 03:00:00;460.12;293.35;275.4
11.01.2024 03:00:00;11.01.2024 04:00:00;502.01;304.98;304.98
11.01.2024 04:00:00;11.01.2024 05:00:00;568.07;324.85;324.85
11.01.2024 05:00:00;11.01.2024 06:00:00;586.93;387.97;387.97
11.01.2024 06:00:00;11.01.2024 07:00:00;665.63;473.56;473.56
11.01.2024 07:00:00;11.01.2024 08:00:00;791.07;604.2;604.2
11.01.2024 08:00:00;11.01.2024 09:00:00;812.08;671.84;671.84
11.01.2024 09:00:00;11.01.2024 10:00:00;808.91;724.91;724.91
11.01.2024 10:00:00;11.01.2024 11:00:00;814.79;804.28;804.28
11.01.2024 11:00:00;11.01.2024 12:00:00;845.84;845.84;845.84
11.01.2024 12:00:00;11.01.2024 13:00:00;828.45;828.45;828.45
11.01.2024 13:00:00;11.01.2024 14:00:00;832.06;832.06;832.06
11.01.2024 14:00:00;11.01.2024 15:00:00;833.53;833.53;833.53
11.01.2024 15:00:00;11.01.2024 16:00:00;802.03;802.03;802.03
11.01.2024 16:00:00;11.01.2024 17:00:00;710.11;710.11;710.11
11.01.2024 17:00:00;11.01.2024 18:00:00;671.16;663.82;671.16
11.01.2024 18:00:00;11.01.2024 19:00:00;668.56;578.01;668.56
11.01.2024 19:00:00;11.01.2024 20:00:00;611.88;536.9;611.88
11.01.2024 20:00:00;11.01.2024 21:00:00;559.83;533.29;559.83
11.01.2024 21:00:00;11.01.2024 22:00:00;522.9;522.9;522.9
11.01.2024 22:00:00;11.01.2024 23:00:00;495.69;495.69;495.69
11.01.2024 23:00:00;12.01.2024 00:00:00;474.35;468.48;474.35
12.01.2024 00:00:00;12.01.2024 01:00:00;509.08;499.34;509.08
12.01.2024 01:00:00;12.01.2024 02:00:00;510.44;495.94;510.44
12.01.2024 02:00:00;12.01.2024 03:00:00;509.76;496.06;509.76
12.01.2024 03:00:00;12.01.2024 04:00:00;503.3;499.11;503.3
12.01.2024 04:00:00;12.01.2024 05:00:00;499.57;499.57;499.57
12.01.2024 05:00:00;12.01.2024 06:00:00;500.24;500.24;500.24
12.01.2024 06:00:00;12.01.2024 07:00:00;497.53;497.53;497.53
12.01.2024 07:00:00;12.01.2024 08:00:00;526.17;526.17;526.17
12.01.2024 08:00:00;12.01.2024 09:00:00;546.44;525.83;525.83
12.01.2024 09:00:00;12.01.2024 10:00:00;561.05;561.05;561.05
12.01.2024 10:00:00;12.01.2024 11:00:00;590.83;590.83;590.83
12.01.2024 11:00:00;12.01.2024 12:00:00;630.46;630.46;630.46
12.01.2024 12:00:00;12.01.2024 13:00:00;706.43;657.75;706.43
12.01.2024 13:00:00;12.01.2024 14:00:00;747.88;657.75;747.88
12.01.2024 14:00:00;12.01.2024 15:00:00;788.41;657.75;788.41
12.01.2024 15:00:00;12.01.2024 16:00:00;795.55;618.23;795.55
12.01.2024 16:00:00;12.01.2024 17:00:00;783.43;618.12;783.43
12.01.2024 17:00:00;12.01.2024 18:00:00;737.23;599.66;737.23
12.01.2024 18:00:00;12.01.2024 19:00:00;722.29;599.66;722.29
12.01.2024 19:00:00;12.01.2024 20:00:00;659.78;598.75;659.78
12.01.2024 20:00:00;12.01.2024 21:00:00;609.4;573.5;609.4
12.01.2024 21:00:00;12.01.2024 22:00:00;557.31;557.31;557.31
12.01.2024 22:00:00;12.01.2024 23:00:00;544.29;544.29;544.29
12.01.2024 23:00:00;13.01.2024 00:00:00;522.32;522.32;522.32
13.01.2024 00:00:00;13.01.2024 01:00:00;560.29;560.29;560.29
13.01.2024 01:00:00;13.01.2024 02:00:00;525.79;525.79;525.79
13.01.2024 02:00:00;13.01.2024 03:00:00;496.13;496.13;496.13
13.01.2024 03:00:00;13.01.2024 04:00:00;478.88;478.88;478.88
13.01.2024 04:00:00;13.01.2024 05:00:00;479.67;479.67;479.67
13.01.2024 05:00:00;13.01.2024 06:00:00;490.83;490.83;490.83
13.01.2024 06:00:00;13.01.2024 07:00:00;514.4;514.4;514.4
13.01.2024 07:00:00;13.01.2024 08:00:00;577.32;550.26;577.32
13.01.2024 08:00:00;13.01.2024 09:00:00;653.2;529.62;653.2
13.01.2024 09:00:00;13.01.2024 10:00:00;667.18;537.29;667.18
13.01.2024 10:00:00;13.01.2024 11:00:00;667.64;550.26;667.64
13.01.2024 11:00:00;13.01.2024 12:00:00;658.16;550.26;658.16
13.01.2024 12:00:00;13.01.2024 13:00:00;633.7;550.26;633.7
13.01.2024 13:00:00;13.01.2024 14:00:00;635.5;550.26;635.5
13.01.2024 14:00:00;13.01.2024 15:00:00;667.18;577.88;667.18
13.01.2024 15:00:00;13.01.2024 16:00:00;741.15;577.32;741.15
13.01.2024 16:00:00;13.01.2024 17:00:00;740.7;594.23;740.7
13.01.2024 17:00:00;13.01.2024 18:00:00;700;601.79;700
13.01.2024 18:00:00;13.01.2024 19:00:00;632.23;610.02;632.23
13.01.2024 19:00:00;13.01.2024 20:00:00;629.07;629.07;629.07
13.01.2024 20:00:00;13.01.2024 21:00:00;634.71;634.71;634.71
13.01.2024 21:00:00;13.01.2024 22:00:00;666.96;662.9;666.96
13.01.2024 22:00:00;13.01.2024 23:00:00;707.66;629.19;707.66
13.01.2024 23:00:00;14.01.2024 00:00:00;695.15;629.19;695.15
14.01.2024 00:00:00;14.01.2024 01:00:00;722.44;676.97;722.44
14.01.2024 01:00:00;14.01.2024 02:00:00;700.89;676.97;700.89
14.01.2024 02:00:00;14.01.2024 03:00:00;710.14;650;710.14
14.01.2024 03:00:00;14.01.2024 04:00:00;722.33;635.33;722.33
14.01.2024 04:00:00;14.01.2024 05:00:00;729.78;635.33;729.78
14.01.2024 05:00:00;14.01.2024 06:00:00;735.76;635.21;735.76
14.01.2024 06:00:00;14.01.2024 07:00:00;759.57;635.21;759.57
14.01.2024 07:00:00;14.01.2024 08:00:00;808.66;635.21;808.66
14.01.2024 08:00:00;14.01.2024 09:00:00;865.98;660.04;865.98
14.01.2024 09:00:00;14.01.2024 10:00:00;915.64;700.78;915.64
14.01.2024 10:00:00;14.01.2024 11:00:00;909.88;818.59;909.88
14.01.2024 11:00:00;14.01.2024 12:00:00;923.53;923.53;923.53
14.01.2024 12:00:00;14.01.2024 13:00:00;907.17;907.17;907.17
14.01.2024 13:00:00;14.01.2024 14:00:00;869.37;869.37;869.37
14.01.2024 14:00:00;14.01.2024 15:00:00;893.18;893.18;893.18
14.01.2024 15:00:00;14.01.2024 16:00:00;904.24;904.24;904.24
14.01.2024 16:00:00;14.01.2024 17:00:00;874.67;874.67;874.67
14.01.2024 17:00:00;14.01.2024 18:00:00;846.91;846.91;846.91
14.01.2024 18:00:00;14.01.2024 19:00:00;844.77;844.77;844.77
14.01.2024 19:00:00;14.01.2024 20:00:00;834.61;834.61;834.61
14.01.2024 20:00:00;14.01.2024 21:00:00;833.48;833.48;833.48
14.01.2024 21:00:00;14.01.2024 22:00:00;831.68;831.68;831.68
14.01.2024 22:00:00;14.01.2024 23:00:00;825.7;825.7;825.7
14.01.2024 23:00:00;15.01.2024 00:00:00;754.83;754.83;754.83
15.01.2024 00:00:00;15.01.2024 01:00:00;785.98;785.98;785.98
15.01.2024 01:00:00;15.01.2024 02:00:00;756.97;745.35;745.35
15.01.2024 02:00:00;15.01.2024 03:00:00;744.56;725.72;725.72
15.01.2024 03:00:00;15.01.2024 04:00:00;722.56;700.1;700.1
15.01.2024 04:00:00;15.01.2024 05:00:00;732.71;717.36;717.36
15.01.2024 05:00:00;15.01.2024 06:00:00;796.36;796.36;796.36
15.01.2024 06:00:00;15.01.2024 07:00:00;902.21;902.21;902.21
15.01.2024 07:00:00;15.01.2024 08:00:00;946.1;946.1;946.1
15.01.2024 08:00:00;15.01.2024 09:00:00;1120.56;1120.56;1120.56
15.01.2024 09:00:00;15.01.2024 10:00:00;1128.35;1128.35;1128.35
15.01.2024 10:00:00;15.01.2024 11:00:00;1070.69;1070.69;1070.69
15.01.2024 11:00:00;15.01.2024 12:00:00;1018.55;1018.55;1018.55
15.01.2024 12:00:00;15.01.2024 13:00:00;963.71;946.33;946.33
15.01.2024 13:00:00;15.01.2024 14:00:00;927.03;927.03;927.03
15.01.2024 14:00:00;15.01.2024 15:00:00;957.84;953.55;953.55
15.01.2024 15:00:00;15.01.2024 16:00:00;1009.3;1009.3;1009.3
15.01.2024 16:00:00;15.01.2024 17:00:00;1094.84;1020.58;1020.58
15.01.2024 17:00:00;15.01.2024 18:00:00;1136.25;986.05;986.05
15.01.2024 18:00:00;15.01.2024 19:00:00;1121.35;1061.66;1061.66
15.01.2024 19:00:00;15.01.2024 20:00:00;1063.92;1060.98;1060.98
15.01.2024 20:00:00;15.01.2024 21:00:00;1071.93;1071.93;1071.93
15.01.2024 21:00:00;15.01.2024 22:00:00;1001.06;1001.06;1001.06
15.01.2024 22:00:00;15.01.2024 23:00:00;980.64;980.64;980.64
15.01.2024 23:00:00;16.01.2024 00:00:00;967.55;795.23;967.55
16.01.2024 00:00:00;16.01.2024 01:00:00;929.45;687.56;929.45
16.01.2024 01:00:00;16.01.2024 02:00:00;920.52;701.13;920.52
